State,Pollster,Grade,Sample,Date,weight,Biden,Bloomberg,Booker,Buttigieg,Klobuchar,Sanders,Steyer,Warren,Yang,link
US,Ipsos,B+,669  a,2020-03-05 00:00:00,0.0,52,0,0,0,0,48,0,0,0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_05_2020.pdf
US,Ipsos,B+,568  rv,2020-03-05 00:00:00,36.4,55,0,0,0,0,45,0,0,0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_05_2020.pdf
Arizona,OH Predictive Insights/MBQF,B/C,398  lv,2020-03-04 00:00:00,18.9,45,12,0,0,0,17,0,13,0,https://ohpredictiveinsights.cmail20.com/t/ViewEmail/i/441A4BBC8D65864C2540EF23F30FEDED/BD86063377B5C14A16FB8100885F948E
Florida,St. Pete Polls,C+,1882  lv,2020-03-04 00:00:00,32.7,61,14,0,1,1,12,0,5,0,https://floridapolitics.com/archives/321847-latest-poll-of-florida-primary-shows-joe-biden-with-massive-lead-over-bernie-sanders
US,YouGov,B-,722  lv,2020-03-03 00:00:00,24.3,28,11,0,7,4,24,0,19,0,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3rdraw493c/econTabReport.pdf
US,Morning Consult,B+,961  lv,2020-03-03 00:00:00,5.6,36,19,0,0,0,28,0,14,0,https://morningconsult.com/2020/03/03/biden-reclaims-national-lead-with-buttigieg-klobuchar-exits/
Michigan,Glengariff Group Inc.,B/C,600  lv,2020-03-02 00:00:00,18.3,29,11,0,6,3,23,0,7,0,https://www.scribd.com/document/450004461/Michigan-Democratic-primary-poll-results
US,Harris Insights & Analytics,C+,453  rv,2020-03-02 00:00:00,14.2,28,20,0,0,3,23,0,11,0,https://thehill.com/hilltv/what-americas-thinking/485742-biden-surges-post-sc-primary-in-new-hill-harrisx-poll
US,Ipsos,B+,579  rv,2020-03-02 00:00:00,0.0,49,0,0,0,0,51,0,0,0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_02_2020_wu.pdf
US,Ipsos,B+,682  a,2020-03-02 00:00:00,0.0,46,0,0,0,0,54,0,0,0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_02_2020_wu.pdf
US,Ipsos,B+,579  rv,2020-03-02 00:00:00,0.0,0,44,0,0,0,56,0,0,0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_02_2020_wu.pdf
US,Ipsos,B+,682  a,2020-03-02 00:00:00,0.0,0,45,0,0,0,55,0,0,0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_02_2020_wu.pdf
US,Ipsos,B+,600  rv,2020-03-02 00:00:00,0.0,15,14,0,10,4,24,2,9,0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_02_2020_wu.pdf
US,Ipsos,B+,735  a,2020-03-02 00:00:00,0.0,13,13,0,8,3,23,2,9,0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_02_2020_wu.pdf
North Carolina,Spry Strategies,C/D,543  lv,2020-03-02 00:00:00,10.0,45,11,0,3,3,18,0,7,0,https://www.nccivitas.org/polling/biden-momentum-surging-48-hours-super-tuesday/
Vermont,Data for Progress,A-,236  lv,2020-03-02 00:00:00,23.0,16,8,0,1,0,57,0,16,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Utah,Data for Progress,A-,622  lv,2020-03-02 00:00:00,39.4,23,17,0,7,3,29,0,19,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Maine,Data for Progress,A-,385  lv,2020-03-02 00:00:00,30.6,25,18,0,1,1,34,0,20,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Oklahoma,Data for Progress,A-,300  lv,2020-03-02 00:00:00,26.1,35,19,0,0,0,28,0,16,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Arkansas,Data for Progress,A-,300  lv,2020-03-02 00:00:00,26.1,36,22,0,2,1,23,0,15,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Alabama,Data for Progress,A-,237  lv,2020-03-02 00:00:00,23.0,47,18,0,0,0,22,0,12,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Minnesota,Data for Progress,A-,650  lv,2020-03-02 00:00:00,40.4,27,16,0,0,2,32,0,21,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Tennessee,Data for Progress,A-,368  lv,2020-03-02 00:00:00,29.9,34,20,0,2,2,27,0,15,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Colorado,Data for Progress,A-,464  lv,2020-03-02 00:00:00,33.8,18,16,0,8,4,32,0,21,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Massachusetts,Data for Progress,A-,301  lv,2020-03-02 00:00:00,26.9,26,15,0,2,1,26,0,28,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Virginia,Data for Progress,A-,327  lv,2020-03-02 00:00:00,28.1,39,18,0,0,0,24,0,17,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
North Carolina,Data for Progress,A-,334  lv,2020-03-02 00:00:00,28.4,36,18,0,3,2,27,0,14,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Texas,Data for Progress,A-,300  lv,2020-03-02 00:00:00,26.1,30,20,0,4,3,28,0,15,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
California,Data for Progress,A-,516  lv,2020-03-02 00:00:00,35.7,25,17,0,5,3,32,0,16,0,https://www.dataforprogress.org/memos/super-tuesday-final-polling
Vermont,Swayable,-,147  lv,2020-03-02 00:00:00,8.5,11,16,0,5,2,48,0,17,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Virginia,Swayable,-,1435  lv,2020-03-02 00:00:00,19.4,36,20,0,4,3,20,3,11,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Utah,Swayable,-,143  lv,2020-03-02 00:00:00,8.4,27,29,0,7,6,22,1,6,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Texas,Swayable,-,1378  lv,2020-03-02 00:00:00,19.1,27,20,0,5,3,28,3,12,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Tennessee,Swayable,-,1527  lv,2020-03-02 00:00:00,19.8,28,17,0,8,6,27,1,9,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Oklahoma,Swayable,-,472  lv,2020-03-02 00:00:00,13.0,38,11,0,1,1,26,1,13,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
North Carolina,Swayable,-,1209  lv,2020-03-02 00:00:00,18.2,36,18,0,4,4,23,1,10,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Minnesota,Swayable,-,1472  lv,2020-03-02 00:00:00,19.5,20,14,0,4,21,27,1,8,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Maine,Swayable,-,209  lv,2020-03-02 00:00:00,9.7,22,28,0,10,2,27,0,11,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Massachusetts,Swayable,-,917  lv,2020-03-02 00:00:00,16.5,17,18,0,11,5,27,4,15,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Colorado,Swayable,-,921  lv,2020-03-02 00:00:00,16.5,20,19,0,12,4,29,0,12,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
California,Swayable,-,3388  lv,2020-03-02 00:00:00,26.4,21,19,0,8,3,29,4,10,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Arkansas,Swayable,-,714  lv,2020-03-02 00:00:00,15.1,28,25,0,8,7,17,1,10,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Alabama,Swayable,-,949  lv,2020-03-02 00:00:00,16.7,42,18,0,3,1,20,2,10,0,https://swayable.com/insights/democratic-primaries-2020-super-tuesday-polling
Maine,Change Research,C,507  lv,2020-03-02 00:00:00,13.3,24,10,0,0,0,43,0,16,0,https://twitter.com/ChangePolls/status/1234698273631326209
Virginia,AtlasIntel,-,545  lv,2020-03-02 00:00:00,13.7,42,11,0,1,1,28,0,10,0,https://projects.fivethirtyeight.com/polls/20200302_VA.pdf
Virginia,Change Research,C,510  lv,2020-03-02 00:00:00,13.3,45,10,0,0,4,25,0,13,0,https://twitter.com/ChangePolls/status/1234689837447299074
Texas,AtlasIntel,-,486  lv,2020-03-02 00:00:00,11.0,25,16,0,5,3,35,0,9,0,https://projects.fivethirtyeight.com/polls/20200302_TX.pdf
California,AtlasIntel,-,727  lv,2020-03-02 00:00:00,12.7,26,15,0,3,1,34,0,15,0,https://projects.fivethirtyeight.com/polls/20200302_CA.pdf
Texas,Elucd,-,833  lv,2020-03-01 00:00:00,13.7,20,14,0,7,5,31,0,13,0,https://elucd.ghost.io/elucd-super-tuesday-democratic-primary-results-3-2-20/
North Carolina,Elucd,-,657  lv,2020-03-01 00:00:00,12.6,25,15,0,6,6,26,0,12,0,https://elucd.ghost.io/elucd-super-tuesday-democratic-primary-results-3-2-20/
Colorado,Elucd,-,561  lv,2020-03-01 00:00:00,11.9,10,9,0,10,5,34,0,14,0,https://elucd.ghost.io/elucd-super-tuesday-democratic-primary-results-3-2-20/
US,Morning Consult,B+,2656  lv,2020-03-01 00:00:00,2.5,26,17,0,10,3,29,0,11,0,https://morningconsult.com/2020/03/02/post-south-carolina-poll-joe-biden/
California,Point Blank Political,-,1220  lv,2020-03-01 00:00:00,0.0,0,0,0,0,0,43,0,40,0,https://www.pointblankpolitical.com/2020-ca-dem-primary-post-sc/
California,Point Blank Political,-,1220  lv,2020-03-01 00:00:00,0.0,0,30,0,0,0,56,0,0,0,https://www.pointblankpolitical.com/2020-ca-dem-primary-post-sc/
California,Point Blank Political,-,1220  lv,2020-03-01 00:00:00,0.0,41,0,0,0,0,48,0,0,0,https://www.pointblankpolitical.com/2020-ca-dem-primary-post-sc/
California,Point Blank Political,-,1220  lv,2020-03-01 00:00:00,17.2,22,10,0,6,3,34,1,14,0,https://www.pointblankpolitical.com/2020-ca-dem-primary-post-sc/
Texas,Emerson College,B-,450  lv,2020-03-01 00:00:00,18.0,26,16,0,5,4,31,2,14,0,http://emersonpolling.com/2020/03/02/texas-2020-sanders-with-slight-lead-over-biden-heading-into-super-tuesday/
California,Emerson College,B-,545  lv,2020-03-01 00:00:00,19.6,21,11,0,7,5,38,2,16,0,http://emersonpolling.com/2020/03/02/california-2020-sanders-positioned-to-capture-california-on-super-tuesday/
US,IBD/TIPP,A/B,325  rv,2020-02-29 00:00:00,17.7,20,13,0,7,6,23,1,17,0,https://projects.fivethirtyeight.com/polls/20200304_National.xlsx
California,Suffolk University,A-,500  lv,2020-02-29 00:00:00,31.3,14,16,0,7,5,35,3,12,0,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2020/3-1-2020_final_ca_marginals.pdf
Texas,YouGov,B-,635  lv,2020-02-29 00:00:00,19.2,26,13,0,6,6,30,1,17,0,https://drive.google.com/file/d/1weevKvGFYvyHzEpUfU_ilzpFm1GrSM7-/view
California,YouGov,B-,1411  lv,2020-02-29 00:00:00,26.9,19,12,0,9,4,31,3,18,0,https://drive.google.com/file/d/12inCh6uWKgHaqw6wpbLX-hewghd4H_np/view
Massachusetts,Suffolk University,A-,500  lv,2020-02-29 00:00:00,31.3,11,13,0,12,5,24,2,22,0,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/massachusetts2/2020/2-29-2020-ma_marginals.pdf
Maryland,Gonzales Research & Marketing Strategies Inc.,B/C,331  lv,2020-02-28 00:00:00,11.3,19,15,0,5,4,23,0,8,0,https://projects.fivethirtyeight.com/polls/20200306_MD.pdf
California,YouGov,B-,1020  lv,2020-02-28 00:00:00,2.8,19,13,0,9,6,28,4,18,0,https://www.hoover.org/sites/default/files/hoover_ca_primary_crosstabs_20200228.pdf
North Carolina,High Point University,A/B,274  lv,2020-02-28 00:00:00,17.9,14,20,2,8,4,28,4,12,0,http://www.highpoint.edu/src/files/2020/03/70memoA.pdf
North Carolina,High Point University,A/B,472  rv,2020-02-28 00:00:00,0.0,14,18,2,8,3,31,4,11,0,http://www.highpoint.edu/src/files/2020/03/70memoA.pdf
North Carolina,East Carolina University,-,499  lv,2020-02-28 00:00:00,11.1,29,14,0,4,5,25,3,11,0,https://surveyresearch-ecu.reportablenews.com/pr/biden-and-sanders-in-close-race-in-north-carolina-presidential-primary-potential-general-election-matchups-competitive
California,Point Blank Political,-,2276  lv,2020-02-28 00:00:00,0.0,0,0,0,0,0,46,0,36,0,https://www.pointblankpolitical.com/2020-ca-dem-primary-post-debate/
California,Point Blank Political,-,2276  lv,2020-02-28 00:00:00,0.0,0,32,0,0,0,57,0,0,0,https://www.pointblankpolitical.com/2020-ca-dem-primary-post-debate/
California,Point Blank Political,-,2276  lv,2020-02-28 00:00:00,0.1,40,0,0,0,0,50,0,0,0,https://www.pointblankpolitical.com/2020-ca-dem-primary-post-debate/
California,Point Blank Political,-,2276  lv,2020-02-28 00:00:00,0.0,14,12,0,9,3,34,3,14,0,https://www.pointblankpolitical.com/2020-ca-dem-primary-post-debate/
South Carolina,AtlasIntel,-,477  lv,2020-02-28 00:00:00,10.4,35,0,0,8,4,24,12,7,0,https://projects.fivethirtyeight.com/polls/20200228_SC_2.pdf
Texas,Marist College,A+,556  lv,2020-02-27 00:00:00,44.3,19,15,0,8,3,34,1,10,0,http://maristpoll.marist.edu/wp-content/uploads/2020/02/NBC-News_Marist-Poll-TX-NOS-and-Tables_2002281546.pdf
Texas,Marist College,A+,1050  rv,2020-02-27 00:00:00,0.0,18,16,0,8,3,35,2,8,0,http://maristpoll.marist.edu/wp-content/uploads/2020/02/NBC-News_Marist-Poll-TX-NOS-and-Tables_2002281546.pdf
North Carolina,Marist College,A+,568  lv,2020-02-27 00:00:00,44.9,24,15,0,7,5,26,2,11,0,http://maristpoll.marist.edu/wp-content/uploads/2020/02/NBC-News_Marist-Poll-NC-NOS-and-Tables_2002281453.pdf
North Carolina,Marist College,A+,974  rv,2020-02-27 00:00:00,0.0,22,15,0,7,5,27,2,11,0,http://maristpoll.marist.edu/wp-content/uploads/2020/02/NBC-News_Marist-Poll-NC-NOS-and-Tables_2002281453.pdf
US,Change Research,C,821  lv,2020-02-27 00:00:00,12.3,9,3,0,14,8,40,2,20,0,https://www.electionscience.org/commentary-analysis/two-thirds-of-democratic-voters-support-multiple-candidates-but-current-polls-wont-tell-you-that/
Texas,Data for Progress,A-,513  lv,2020-02-27 00:00:00,3.5,21,21,0,9,5,30,1,13,0,https://www.dataforprogress.org/blog/2020/2/27/sanders-leads-in-texas-and-north-carolina
North Carolina,Data for Progress,A-,536  lv,2020-02-27 00:00:00,3.6,25,18,0,10,6,27,1,11,0,https://www.dataforprogress.org/blog/2020/2/27/sanders-leads-in-texas-and-north-carolina
South Carolina,Trafalgar Group,C-,1081  lv,2020-02-27 00:00:00,11.0,44,0,0,10,6,23,11,6,0,https://www.fitsnews.com/2020/02/28/2020-first-in-the-south-democratic-presidential-primary-the-oracle-speaks/
US,Morning Consult,B+,5334  lv,2020-02-27 00:00:00,1.2,21,17,0,10,4,33,3,11,0,https://morningconsult.com/2020/02/28/post-south-carolina-debate-polling-joe-biden/
US,YouGov,B-,811  rv,2020-02-27 00:00:00,2.2,21,14,0,10,4,27,2,18,0,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1apn4drwsv/20200227_yahoo_primary_crosstabs.pdf
North Carolina,Spry Strategies,C/D,587  lv,2020-02-27 00:00:00,1.0,27,16,0,4,5,19,0,11,0,https://mcusercontent.com/259a50ef0a1608ab2bc2cf891/files/a58dc4e6-e2c2-49f5-9a17-84fdc61bc9f3/Civitas_Democratic_Presidential_Tracking_RD_2_Toplines.pdf
South Carolina,Data for Progress,A-,1416  lv,2020-02-27 00:00:00,47.8,34,0,0,13,5,25,13,7,0,https://www.dataforprogress.org/blog/2020/2/27/biden-maintains-lead-in-south-carolina
South Carolina,Emerson College,B-,425  lv,2020-02-27 00:00:00,14.9,41,0,0,11,6,25,11,5,0,http://emersonpolling.com/2020/02/27/south-carolina-2020-biden-poised-to-win-his-first-contest/
South Carolina,Change Research,C,543  lv,2020-02-27 00:00:00,10.1,28,0,0,11,4,24,16,12,0,https://www.changeresearch.com/post/post-and-courier-change-research-south-carolina-primary
Texas,University of Texas at Tyler,B/C,586  lv,2020-02-26 00:00:00,12.2,19,21,0,8,4,29,1,10,0,https://www.scribd.com/document/449521374/DMN-UTTyler-Poll-February-2020-Registered-voters
Texas,SSRS,A/B,387  lv,2020-02-26 00:00:00,20.8,20,18,0,8,3,29,1,15,0,https://cdn.cnn.com/cnn/2020/images/02/28/rel1_tx.pdf
California,SSRS,A/B,488  lv,2020-02-26 00:00:00,23.4,13,12,0,7,6,35,3,14,0,https://cdn.cnn.com/cnn/2020/images/02/28/rel1_ca.pdf
Texas,Univision/University of Houston/Latino Decisions/North Star Opinion Research,-,527  lv,2020-02-26 00:00:00,9.3,20,20,0,6,2,26,2,11,0,https://st1.uvnimg.com/ac/23/c0b90672493cbe07ae750f9b79c9/finalunivisionpolling-tx-weighted.pdf
US,SurveyUSA,A,825  lv,2020-02-26 00:00:00,45.9,21,21,0,9,4,28,2,8,0,http://www.surveyusa.com/client/PollReport.aspx?g=3e396fbb-2173-478d-9abf-33406b33fc0b
Massachusetts,MassINC Polling Group,A/B,426  lv,2020-02-26 00:00:00,22.4,9,13,0,14,6,25,2,17,0,https://www.wbur.org/news/2020/02/28/wbur-poll-sanders-opens-substantial-lead-in-massachusetts-challenging-warren-on-her-home-turf
Utah,Harris Insights & Analytics,C+,298  lv,2020-02-26 00:00:00,9.3,6,19,0,18,4,28,0,15,0,https://www.deseret.com/utah/2020/2/27/21156476/poll-sanders-bloomberg-buttigieg-warren-biden-utah-super-tuesday-democratic-presidential-primary
US,Fox News/Beacon Research/Shaw & Co. Research,A-,507  lv,2020-02-26 00:00:00,27.2,18,16,0,12,5,31,2,10,0,https://www.foxnews.com/politics/fox-news-poll-february-23-26-2020
South Carolina,Starboard Communications,B/C,1102  lv,2020-02-26 00:00:00,19.4,40,0,0,9,6,11,12,9,0,https://projects.fivethirtyeight.com/polls/20200227_SC.pdf
Florida,St. Pete Polls,C+,2788  lv,2020-02-26 00:00:00,3.0,34,25,0,8,4,13,1,5,0,http://stpetepolls.org/files/StPetePolls_2020_State_DEMprimaryFebruary26_AG3D.pdf
California,"University of California, Berkeley",B/C,3002  lv,2020-02-25 00:00:00,24.9,8,12,0,11,6,34,2,17,1,https://escholarship.org/uc/item/40m769v7
South Carolina,Monmouth University,A+,454  lv,2020-02-25 00:00:00,37.5,36,0,0,6,4,16,15,8,0,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_sc_022720.pdf/
Colorado,Magellan Strategies,B/C,500  lv,2020-02-25 00:00:00,13.0,11,11,0,12,6,27,1,15,0,https://magellanstrategies.com/magellan-strategies-colorado-democratic-presidential-primary/
Colorado,Data for Progress,A-,471  lv,2020-02-25 00:00:00,3.2,10,14,0,14,6,34,0,20,0,https://www.dataforprogress.org/blog/2020/2/26/sanders-ahead-in-virginia-and-colorado
Virginia,Data for Progress,A-,499  lv,2020-02-25 00:00:00,3.3,19,17,0,12,5,28,1,17,0,https://www.dataforprogress.org/blog/2020/2/26/sanders-ahead-in-virginia-and-colorado
South Carolina,Clemson University,B/C,650  lv,2020-02-25 00:00:00,12.5,35,0,0,8,4,13,17,8,0,http://newsstand.clemson.edu/wp-content/uploads/2020/02/2020-Palmetto-Poll-Results.pdf
California,Point Blank Political,-,2098  lv,2020-02-25 00:00:00,0.0,11,11,0,9,4,34,3,13,0,https://www.pointblankpolitical.com/2020-ca-dem-primary-pre-debate/
US,YouGov,B-,584  lv,2020-02-25 00:00:00,0.6,20,11,0,9,4,30,1,16,0,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zye3phsf7t/econTabReport.pdf
Texas,Public Policy Polling,B,1045  lv,2020-02-25 00:00:00,0.0,31,0,0,11,7,25,3,17,0,https://progresstexas.org/sites/default/files/February%202020%20Progress%20Texas-PPP%20Poll.pdf
Texas,Public Policy Polling,B,1045  lv,2020-02-25 00:00:00,0.0,24,17,0,10,4,24,1,14,0,https://progresstexas.org/sites/default/files/February%202020%20Progress%20Texas-PPP%20Poll.pdf
US,Ipsos,B+,2706  a,2020-02-25 00:00:00,0.0,13,14,0,8,4,25,3,8,0,https://fingfx.thomsonreuters.com/gfx/mkt/13/2507/2475/Topline%20Reuters%202020%20Election%20Tracker%2002%2025%202020.pdf
US,Ipsos,B+,2244  rv,2020-02-25 00:00:00,0.0,15,15,0,10,4,26,3,10,0,https://fingfx.thomsonreuters.com/gfx/mkt/13/2507/2475/Topline%20Reuters%202020%20Election%20Tracker%2002%2025%202020.pdf
North Carolina,Meredith College,-,430  lv,2020-02-24 00:00:00,7.5,18,17,1,10,4,20,1,11,1,https://www.meredith.edu/assets/images/content/Final_Meredith_College_Poll_Report_February_2020.pdf
Virginia,Christopher Newport University,A/B,561  lv,2020-02-24 00:00:00,17.0,22,13,0,8,5,17,1,8,5,http://cnu.edu/wasoncenter/surveys/2020-02-28/
Massachusetts,YouGov,B-,400  lv,2020-02-24 00:00:00,11.3,12,9,0,14,7,25,3,23,0,https://htv-prod-media.s3.amazonaws.com/files/supertuesdaymatoplines-1582851435.pdf
South Carolina,East Carolina University,-,1142  lv,2020-02-24 00:00:00,12.3,31,0,0,6,2,23,20,8,0,https://surveyresearch-ecu.reportablenews.com/pr/biden-maintains-lead-in-south-carolina-sanders-in-second-steyer-a-close-third
US,Harris Insights & Analytics,C+,470  rv,2020-02-24 00:00:00,1.2,17,19,0,12,3,28,3,8,0,https://thehill.com/hilltv/what-americas-thinking/484534-sanders-lead-grows-post-nevada-in-new-hill-harrisx-poll
North Carolina,Public Policy Polling,B,852  lv,2020-02-24 00:00:00,21.7,23,17,0,9,4,20,3,11,0,https://www.publicpolicypolling.com/wp-content/uploads/2020/02/NorthCarolinaResultsFebruary2020.pdf
South Carolina,Public Policy Polling,B,866  lv,2020-02-24 00:00:00,21.8,36,0,0,7,3,21,7,8,0,https://www.publicpolicypolling.com/wp-content/uploads/2020/02/SouthCarolinaResultsFebruary2020.pdf
Wisconsin,Marquette University Law School,A/B,464  lv,2020-02-23 00:00:00,20.1,15,17,0,13,11,29,1,9,0,https://law.marquette.edu/poll/wp-content/uploads/2020/02/MLSP58Toplines.pdf
California,Change Research,C,1069  lv,2020-02-23 00:00:00,11.0,12,6,0,11,5,37,3,20,4,https://www.changeresearch.com/post/democratic-primary-california-kqed-poll-february
North Carolina,Spry Strategies,C/D,561  lv,2020-02-23 00:00:00,0.2,20,20,0,3,6,20,0,9,0,https://mcusercontent.com/259a50ef0a1608ab2bc2cf891/files/0f490596-e46a-4d58-b52d-2c8a9a53d084/DemocraticPrimaryPoll_Civitas_0225.pdf
US,Morning Consult,B+,2631  lv,2020-02-23 00:00:00,0.4,18,19,0,11,4,32,3,11,0,https://morningconsult.com/2020/02/24/bernie-sanders-rising-post-nevada-polling/
Florida,Saint Leo University,C/D,342  lv,2020-02-22 00:00:00,5.1,25,25,0,11,5,17,1,7,0,http://polls.saintleo.edu/new-saint-leo-university-poll-confirms-narrowing-of-democratic-primary-field-to-three-candidates-just-ahead-of-super-tuesday/
US,Saint Leo University,C/D,310  lv,2020-02-22 00:00:00,4.9,25,16,0,6,3,26,2,9,0,http://polls.saintleo.edu/new-saint-leo-university-poll-confirms-narrowing-of-democratic-primary-field-to-three-candidates-just-ahead-of-super-tuesday/
US,YouGov,B-,6498  lv,2020-02-22 00:00:00,0.6,17,13,0,10,5,28,2,19,0,https://drive.google.com/file/d/1OpQxzzYY4MXgQMfo2j_XicB_tEUtt7eI/view
South Carolina,YouGov,B-,1238  lv,2020-02-22 00:00:00,18.3,28,0,0,10,4,23,18,12,0,https://drive.google.com/file/d/1af1YadukuDouIbnoGHCAkIDgaRAXjr8M/view
Missouri,Americana Analytics,-,1198  lv,2020-02-21 00:00:00,11.0,22,17,0,11,9,11,1,10,0,https://bloximages.newyork1.vip.townnews.com/kmov.com/content/tncms/assets/v3/editorial/0/b1/0b1dde3a-582a-11ea-bf4c-1fb275dfcdc2/5e55b447ac2f1.pdf.pdf
