state,pollster,grade,date,nsize,ntype,dem,gop,adjmargin,weight
Texas,Data for Progress,B/C,1/16 - 1/21,1486.0,lv,40.0,55.0,16.199999999999996,4.5
US,Morning Consult,B/C,1/15 - 1/19,5944.0,rv,45.0,41.0,-2.6000000000000014,0.2
US,CNN/SSRS,A/B,1/16 - 1/19,1051.0,rv,52.0,44.0,-5.600000000000001,11.2
US,Data for Progress,B/C,1/9 - 1/19,1606.0,a,47.0,41.0,,0.0
Texas,Texas Lyceum,0,1/10 - 1/19,520.0,lv,46.0,51.0,5.5,1.2
US,SurveyUSA,A,1/14 - 1/16,4069.0,rv,50.0,43.0,-3.6000000000000014,42.8
California,SurveyUSA,A,1/14 - 1/16,1967.0,rv,58.0,36.0,-17.299999999999997,29.7
US,Zogby Analytics,C,1/15 - 1/16,882.0,lv,45.0,46.0,0.7999999999999972,2.3
Wisconsin,Marquette Law School,A/B,1/8 - 1/12,800.0,rv,48.0,46.0,0.7999999999999972,7.9
Michigan,EPIC-MRA,B+,1/9 - 1/12,600.0,lv,50.0,44.0,-4.200000000000003,7.7
US,Morning Consult,B/C,1/6 - 1/12,8299.0,rv,45.0,41.0,-2.3999999999999986,0.1
Florida,Florida Atlantic University,B/C,1/9 - 1/12,1285.0,rv,52.0,48.0,-1.2999999999999972,2.9
Florida,Cherry Communications,B/C,1/3 - 1/12,608.0,lv,45.0,49.0,2.6000000000000014,2.0
US,IBD/TIPP,A/B,1/3 - 1/11,846.0,rv,48.0,46.0,-1.6000000000000014,1.0
West Virginia,WPA Intelligence,B/C,1/7 - 1/9,500.0,lv,30.0,66.0,33.50000000000001,2.3
Alabama,WPA Intelligence,B/C,1/7 - 1/9,500.0,lv,38.0,59.0,19.1,2.3
Wisconsin,Fox News,A-,1/5 - 1/8,1504.0,rv,46.0,41.0,-0.5,11.7
Nevada,Fox News,A-,1/5 - 1/8,1505.0,rv,46.0,40.0,-2.1000000000000014,11.7
Michigan,Glengariff Group Inc.,B/C,1/3 - 1/7,600.0,lv,49.0,44.0,-3.0,2.9
New Mexico,Emerson College,A-,1/3 - 1/6,967.0,rv,56.0,44.0,-10.100000000000001,9.3
US,Morning Consult,B/C,12/30 - 1/5,8436.0,rv,45.0,41.0,,0.0
Arizona,Public Policy Polling,B,1/2 - 1/4,760.0,v,46.0,46.0,6.0,1.9
Connecticut,Sacred Heart University,B/C,12/16 - 1/2,1000.0,a,51.0,34.0,,0.0
Iowa,Public Policy Polling,B,12/29 - 12/31,964.0,v,45.0,49.0,8.899999999999999,2.0
Georgia,Mason-Dixon Polling & Research Inc.,B+,12/19 - 12/23,625.0,rv,43.0,52.0,10.700000000000003,4.3
US,Ipsos,B-,12/18 - 12/19,1117.0,a,39.0,35.0,,0.0
US,Ipsos,B-,12/18 - 12/19,1108.0,a,37.0,37.0,,0.0
US,Rasmussen Reports/Pulse Opinion Research,C+,12/16 - 12/17,1000.0,lv,,,-4.799999999999997,0.1
US,Emerson College,A-,12/15 - 12/17,1222.0,rv,52.0,48.0,-2.700000000000003,1.0
Virginia,Mason-Dixon Polling & Research Inc.,B+,12/12 - 12/16,625.0,rv,47.0,47.0,3.200000000000003,4.0
Florida,Mason-Dixon Polling & Research Inc.,B+,12/11 - 12/16,625.0,rv,46.0,47.0,4.399999999999999,4.0
US,CNN/SSRS,A/B,12/12 - 12/15,888.0,rv,49.0,45.0,-2.0,0.7
US,Suffolk University,A-,12/10 - 12/14,1000.0,rv,39.0,44.0,6.299999999999997,7.3
US,IBD/TIPP,A/B,12/5 - 12/14,849.0,rv,48.0,46.0,2.8000000000000043,0.5
Virginia,Virginia Commonwealth University,B/C,12/2 - 12/13,818.0,a,47.0,45.0,3.700000000000003,1.9
US,Fox News,A-,12/8 - 12/11,1000.0,rv,48.0,42.0,-3.6000000000000014,0.9
Iowa,Emerson College,A-,12/7 - 12/10,1043.0,rv,44.0,49.0,10.200000000000003,6.7
Texas,CNN/SSRS,A/B,12/4 - 12/9,1003.0,rv,45.0,49.0,10.400000000000006,5.3
US,Quinnipiac University,B+,12/4 - 12/9,1553.0,rv,51.0,42.0,-7.100000000000001,5.8
California,CNN/SSRS,A/B,12/4 - 12/8,1011.0,rv,55.0,37.0,-11.799999999999997,5.3
Wisconsin,Marquette Law School,A/B,12/3 - 12/8,800.0,rv,46.0,46.0,5.899999999999999,0.9
US,Zogby Analytics,C,12/5 - 12/8,865.0,lv,45.0,46.0,0.7000000000000028,0.2
Pennsylvania,Firehouse Strategies/Øptimus,C/D,12/3 - 12/5,598.0,lv,40.0,46.0,10.799999999999997,0.6
Wisconsin,Firehouse Strategies/Øptimus,C/D,12/3 - 12/5,610.0,lv,38.0,49.0,15.5,0.6
Michigan,Firehouse Strategies/Øptimus,C/D,12/3 - 12/5,551.0,lv,41.0,47.0,10.099999999999994,0.6
Arizona,OH Predictive Insights,B/C,12/3 - 12/4,628.0,lv,41.0,46.0,10.0,1.9
New Hampshire,Emerson College,A-,11/22 - 11/26,547.0,rv,52.0,48.0,-0.19999999999999574,5.5
California,SurveyUSA,A,11/20 - 11/22,2039.0,rv,58.0,33.0,-17.6,2.0
US,SurveyUSA,A,11/20 - 11/21,3850.0,rv,51.0,40.0,-5.5,1.5
US,RealClear Opinion Research,B/C,11/15 - 11/21,2055.0,rv,51.0,40.0,-10.800000000000004,1.8
Texas,Beacon Research,0,11/9 - 11/21,1000.0,rv,43.0,45.0,11.700000000000003,0.2
US,Emerson College,A-,11/17 - 11/20,1092.0,rv,50.0,50.0,1.0,0.2
New Hampshire,Saint Anselm College,0,11/13 - 11/18,512.0,rv,50.0,44.0,-0.5,0.4
Georgia,SurveyUSA,A,11/15 - 11/18,1303.0,lv,46.0,44.0,3.5,12.2
Wisconsin,Marquette Law School,A/B,11/13 - 11/17,801.0,rv,44.0,47.0,15.300000000000004,0.3
Texas,University of Texas at Tyler,B/C,11/5 - 11/14,1093.0,rv,39.0,45.0,14.100000000000001,0.3
Nevada,Fox News,A-,11/10 - 11/13,1506.0,rv,46.0,40.0,0.10000000000000142,0.8
North Carolina,Fox News,A-,11/10 - 11/13,1504.0,rv,45.0,43.0,5.299999999999997,6.0
Georgia,Climate Nexus,0,11/4 - 11/10,688.0,lv,47.0,47.0,5.399999999999999,0.5
Pennsylvania,Muhlenberg College,A+,11/4 - 11/9,410.0,rv,51.0,44.0,-2.299999999999997,6.0
US,Morning Consult,B/C,11/8 - 11/8,1347.0,rv,44.0,40.0,,0.0
Georgia,University of Georgia,B/C,10/30 - 11/8,1028.0,rv,50.0,43.0,-1.1999999999999957,1.3
Nevada,Emerson College,A-,10/31 - 11/3,1089.0,rv,49.0,51.0,5.699999999999996,4.5
Michigan,Emerson College,A-,10/31 - 11/3,1051.0,rv,56.0,44.0,-7.100000000000001,4.5
US,YouGov,B-,10/25 - 10/31,1500.0,lv,51.0,49.0,-1.7999999999999972,2.0
US,IBD/TIPP,A/B,10/24 - 10/31,845.0,rv,52.0,43.0,-6.400000000000006,0.2
US,Fox News,A-,10/27 - 10/30,1040.0,rv,50.0,40.0,-3.0,0.4
US,ABC News/Washington Post,A+,10/27 - 10/30,1003.0,a,56.0,39.0,-12.299999999999997,1.6
US,NBC News/Wall Street Journal,A/B,10/27 - 10/30,720.0,rv,50.0,41.0,-8.200000000000003,0.2
Georgia,Zogby Analytics,C,10/28 - 10/30,550.0,lv,46.0,44.0,1.3999999999999986,0.8
Iowa,Siena College/New York Times Upshot,A+,10/25 - 10/30,1435.0,rv,43.0,46.0,7.100000000000001,1.5
US,Morning Consult,B/C,10/25 - 10/28,1997.0,rv,39.0,36.0,4.299999999999997,0.1
Arizona,Emerson College,A-,10/25 - 10/28,901.0,rv,50.0,50.0,4.400000000000006,4.0
Texas,YouGov,B-,10/18 - 10/27,1200.0,rv,39.0,46.0,10.5,1.5
Florida,Siena College/New York Times Upshot,A+,10/13 - 10/26,650.0,rv,45.0,45.0,3.0,8.6
Wisconsin,Siena College/New York Times Upshot,A+,10/13 - 10/26,651.0,rv,47.0,44.0,1.7000000000000028,8.6
North Carolina,Siena College/New York Times Upshot,A+,10/13 - 10/26,651.0,rv,45.0,48.0,5.700000000000003,8.6
Pennsylvania,Siena College/New York Times Upshot,A+,10/13 - 10/25,661.0,rv,46.0,44.0,2.3999999999999986,8.6
Michigan,Siena College/New York Times Upshot,A+,10/13 - 10/25,501.0,rv,44.0,44.0,1.1000000000000014,7.4
Arizona,Siena College/New York Times Upshot,A+,10/13 - 10/23,652.0,rv,48.0,45.0,3.299999999999997,8.4
Washington,Public Policy Polling,B,10/22 - 10/23,900.0,lv,59.0,37.0,-16.5,2.2
US,Civiqs,0,10/19 - 10/22,1333.0,rv,46.0,43.0,,0.0
US,Emerson College,A-,10/18 - 10/21,1000.0,rv,51.0,49.0,-0.6000000000000014,0.1
US,CNN/SSRS,A/B,10/17 - 10/20,892.0,rv,53.0,43.0,-9.0,0.1
Florida,University of North Florida,A/B,10/14 - 10/20,644.0,rv,47.0,43.0,3.200000000000003,0.8
US,Ipsos,B-,10/17 - 10/18,1116.0,a,42.0,35.0,-5.899999999999999,1.2
Wisconsin,Marquette Law School,A/B,10/13 - 10/17,799.0,rv,49.0,45.0,,0.0
US,SurveyUSA,A,10/15 - 10/16,3080.0,rv,51.0,42.0,-8.799999999999997,0.1
California,SurveyUSA,A,10/15 - 10/16,1242.0,rv,58.0,33.0,-9.900000000000002,0.1
Minnesota,Mason-Dixon Polling & Research Inc.,B+,10/14 - 10/16,800.0,rv,50.0,39.0,-8.0,2.5
Iowa,Emerson College,A-,10/13 - 10/16,888.0,rv,50.0,50.0,3.6000000000000014,0.5
Maine,Public Policy Polling,B,10/11 - 10/13,939.0,v,54.0,42.0,-4.5,0.9
Maine CD-1,Public Policy Polling,B,10/11 - 10/13,478.0,v,58.0,38.0,-11.899999999999999,0.8
Maine CD-2,Public Policy Polling,B,10/11 - 10/13,461.0,v,49.0,47.0,5.399999999999999,0.7
Ohio,Public Policy Polling,B,10/10 - 10/11,776.0,v,47.0,46.0,5.799999999999997,0.9
North Carolina,East Carolina University,0,10/2 - 10/9,1076.0,rv,49.0,47.0,2.4000000000000057,0.3
US,Fox News,A-,10/6 - 10/8,1003.0,rv,50.0,40.0,-4.300000000000001,0.1
North Carolina,Meredith College,0,9/29 - 10/7,998.0,rv,34.0,39.0,10.0,0.3
Ohio,Climate Nexus,0,10/1 - 10/7,1112.0,rv,52.0,48.0,-1.0,0.3
US,Quinnipiac University,B+,10/4 - 10/7,1483.0,rv,50.0,41.0,-7.300000000000004,0.4
North Carolina,Public Policy Polling,B,10/4 - 10/6,963.0,v,50.0,46.0,2.5,0.9
US,Rasmussen Reports/Pulse Opinion Research,C+,10/3 - 10/6,1000.0,lv,,,-0.9000000000000021,0.1
Virginia,Virginia Commonwealth University,B/C,9/23 - 10/4,800.0,a,51.0,45.0,1.3000000000000043,0.1
Montana,University of Montana,0,9/26 - 10/3,303.0,rv,46.0,54.0,10.100000000000001,0.3
US,Zogby Analytics,C,10/1 - 10/3,887.0,lv,44.0,47.0,2.1999999999999993,0.1
US,IBD/TIPP,A/B,9/26 - 10/3,863.0,rv,50.0,45.0,,0.0
Ohio,Emerson College,A-,9/29 - 10/2,837.0,rv,53.0,47.0,-2.3000000000000043,1.9
Wisconsin,Fox News,A-,9/29 - 10/2,1512.0,rv,47.0,40.0,-2.200000000000003,0.5
Connecticut,Sacred Heart University,B/C,9/17 - 10/2,1000.0,a,51.0,34.0,,0.0
US,HarrisX,C+,10/1 - 10/2,1000.0,rv,41.0,36.0,-2.0,1.1
US,Ipsos,B-,9/26 - 9/30,2234.0,a,39.0,34.0,-4.899999999999999,0.2
Michigan,Target Insyght,B/C,9/24 - 9/26,804.0,lv,54.0,35.0,-16.599999999999994,0.5
US,Civiqs,0,9/21 - 9/24,1548.0,rv,47.0,43.0,-0.8999999999999986,0.1
US,Ipsos,B-,9/23 - 9/24,1005.0,a,38.0,35.0,,0.0
US,Rasmussen Reports/Pulse Opinion Research,C+,9/23 - 9/24,1000.0,lv,43.0,47.0,2.6999999999999957,0.4
US,Emerson College,A-,9/21 - 9/23,1019.0,rv,50.0,50.0,4.299999999999997,0.2
US,HarrisX,C+,9/21 - 9/22,1002.0,rv,42.0,38.0,-3.0,0.1
Missouri,Remington Research Group,C-,9/18 - 9/19,1046.0,lv,40.0,53.0,18.799999999999997,0.4
US,Fox News,A-,9/15 - 9/17,1008.0,rv,50.0,39.0,-1.1000000000000014,0.2
US,Zogby Analytics,C,9/16 - 9/17,1004.0,lv,48.0,45.0,,0.0
US,SurveyUSA,A,9/13 - 9/16,4520.0,rv,48.0,42.0,4.699999999999996,0.6
California,Emerson College,A-,9/13 - 9/16,830.0,rv,63.0,37.0,-21.599999999999994,3.1
California,SurveyUSA,A,9/13 - 9/15,1785.0,rv,57.0,32.0,-6.599999999999998,0.1
Virginia,Research America Inc.,B/C,9/3 - 9/15,1009.0,a,54.0,37.0,-10.5,0.8
Florida,Florida Atlantic University,B/C,9/12 - 9/15,934.0,rv,50.0,50.0,10.300000000000011,0.1
Texas,University of Texas at Tyler,B/C,9/13 - 9/15,1199.0,rv,38.0,39.0,3.299999999999997,0.1
US,Marquette Law School,A/B,9/3 - 9/13,1423.0,a,44.0,34.0,,0.0
Arizona,Bendixen & Amandi International,B/C,9/9 - 9/12,520.0,rv,41.0,43.0,8.599999999999994,0.7
US,GQR Research,C+,9/7 - 9/11,800.0,rv,49.0,42.0,-4.199999999999996,0.8
Michigan,Firehouse Strategies/Øptimus,C/D,9/7 - 9/9,529.0,lv,41.0,42.0,,0.0
Pennsylvania,Firehouse Strategies/Øptimus,C/D,9/7 - 9/9,527.0,lv,44.0,41.0,,0.0
New Hampshire,Emerson College,A-,9/6 - 9/9,1041.0,rv,53.0,47.0,0.8000000000000043,0.3
Wisconsin,Firehouse Strategies/Øptimus,C/D,9/7 - 9/9,534.0,lv,45.0,42.0,,0.0
Texas,Univision/University of Houston/Latino Decisions/North Star Opinion Research,0,8/31 - 9/6,1004.0,rv,47.0,43.0,0.10000000000000142,0.3
US,ABC News/Washington Post,A+,9/2 - 9/5,1003.0,a,53.0,39.0,-8.600000000000001,0.3
US,IBD/TIPP,A/B,8/22 - 8/30,848.0,rv,52.0,43.0,,0.0
Wisconsin,Marquette Law School,A/B,8/25 - 8/29,800.0,rv,49.0,43.0,4.5,0.1
US,Quinnipiac University,B+,8/21 - 8/26,1422.0,rv,53.0,39.0,-13.0,0.2
US,Emerson College,A-,8/24 - 8/26,1458.0,rv,53.0,47.0,,0.0
Texas,Climate Nexus,0,8/20 - 8/25,1660.0,rv,42.0,44.0,5.399999999999999,0.3
US,HarrisX,C+,8/23 - 8/24,1001.0,rv,33.0,37.0,4.699999999999996,0.3
US,HarrisX,C+,8/22 - 8/23,1002.0,rv,42.0,38.0,,0.0
Michigan,EPIC-MRA,B+,8/17 - 8/21,600.0,lv,50.0,42.0,-3.3999999999999986,0.4
Colorado,Emerson College,A-,8/16 - 8/19,1000.0,rv,55.0,45.0,-6.5,3.0
US,Morning Consult,B/C,8/16 - 8/18,1998.0,rv,40.0,35.0,8.300000000000004,0.1
Nevada,Gravis Marketing,C+,8/14 - 8/16,926.0,rv,48.0,44.0,0.8999999999999986,0.7
Arizona,OH Predictive Insights,B/C,8/13 - 8/14,600.0,lv,42.0,43.0,9.100000000000009,0.1
US,Fox News,A-,8/11 - 8/13,1013.0,rv,49.0,38.0,,0.0
US,Zogby Analytics,C,8/9 - 8/12,897.0,lv,44.0,46.0,,0.0
Alaska,Zogby Analytics,C,7/22 - 8/9,321.0,lv,38.0,45.0,9.799999999999997,0.4
New Hampshire,Gravis Marketing,C+,8/2 - 8/6,505.0,rv,52.0,41.0,-7.399999999999999,0.5
Utah,Y2 Analytics,B/C,7/31 - 8/6,144.0,rv,37.0,37.0,3.200000000000003,0.5
California,SurveyUSA,A,8/1 - 8/5,2184.0,rv,61.0,28.0,-26.900000000000006,0.7
North Carolina,SurveyUSA,A,8/1 - 8/5,2113.0,rv,48.0,42.0,-0.8999999999999986,6.7
US,SurveyUSA,A,8/1 - 8/5,5459.0,rv,49.0,42.0,-3.5999999999999943,1.0
Texas,University of Texas at Tyler,B/C,8/1 - 8/4,1261.0,rv,41.0,38.0,,0.0
North Carolina,Harper Polling,B/C,8/1 - 8/4,500.0,lv,44.0,45.0,4.300000000000004,0.7
Texas,Emerson College,A-,8/1 - 8/3,1033.0,rv,50.0,50.0,2.8999999999999986,3.2
Washington,Zogby Analytics,C,7/22 - 8/1,1265.0,lv,52.0,31.0,-20.0,0.5
US,IBD/TIPP,A/B,7/25 - 8/1,856.0,rv,52.0,43.0,,0.0
US,Rasmussen Reports/Pulse Opinion Research,C+,7/21 - 8/1,5000.0,lv,46.0,45.0,-2.4000000000000057,0.4
Colorado,Fabrizio Ward LLC,B/C,7/29 - 7/31,600.0,lv,51.0,42.0,-7.899999999999999,0.3
Kentucky,Fabrizio Ward LLC,B/C,7/29 - 7/31,600.0,lv,41.0,53.0,15.700000000000003,0.3
Maine,Fabrizio Ward LLC,B/C,7/29 - 7/31,600.0,lv,50.0,44.0,-4.699999999999996,0.3
Arizona,Fabrizio Ward LLC,B/C,7/29 - 7/31,600.0,lv,50.0,45.0,-3.5,0.3
North Carolina,Fabrizio Ward LLC,B/C,7/29 - 7/31,600.0,lv,49.0,45.0,-2.3000000000000043,0.3
US,Claster Consulting,0,7/29 - 7/31,832.0,lv,47.0,41.0,-7.199999999999996,0.1
US,Emerson College,A-,7/27 - 7/29,1233.0,rv,51.0,49.0,,0.0
US,GQR Research,C+,7/18 - 7/28,1700.0,rv,49.0,41.0,,0.0
US,HarrisX,C+,7/26 - 7/27,1001.0,rv,27.0,37.0,7.600000000000001,0.2
Texas,University of Texas at Tyler,B/C,7/24 - 7/27,1414.0,rv,38.0,37.0,,0.0
US,HarrisX,C+,7/25 - 7/26,1000.0,rv,40.0,39.0,,0.0
US,Fox News,A-,7/21 - 7/23,1004.0,rv,47.0,40.0,,0.0
Ohio,Quinnipiac University,B+,7/17 - 7/22,1431.0,rv,48.0,44.0,0.6000000000000014,2.2
US,Rasmussen Reports/Pulse Opinion Research,C+,7/7 - 7/18,5000.0,lv,,,2.400000000000002,0.1
Michigan,Climate Nexus,0,7/14 - 7/17,820.0,rv,48.0,37.0,-7.799999999999997,0.2
North Dakota,1892 Polling,B/C,7/15 - 7/17,500.0,lv,34.0,60.0,25.699999999999996,0.3
US,NBC News/Wall Street Journal,A/B,7/7 - 7/9,800.0,rv,50.0,42.0,-3.6000000000000014,0.2
US,Public Policy Polling,B,7/3 - 7/8,604.0,rv,,,1.1000000000000014,0.1
US,Emerson College,A-,7/6 - 7/8,1100.0,rv,52.0,48.0,,0.0
US,Rasmussen Reports/Pulse Opinion Research,C+,6/23 - 7/2,4500.0,lv,48.0,44.0,,0.0
US,ABC News/Washington Post,A+,6/28 - 7/1,1008.0,a,53.0,43.0,-2.799999999999997,0.1
US,Emerson College,A-,6/21 - 6/24,1096.0,rv,54.0,46.0,,0.0
Maine,Gravis Marketing,C+,6/24 - 6/24,767.0,rv,53.0,47.0,-3.4000000000000057,0.5
US,HarrisX,C+,6/23 - 6/24,1001.0,rv,26.0,38.0,,0.0
US,HarrisX,C+,6/22 - 6/23,1001.0,rv,39.0,40.0,,0.0
US,Rasmussen Reports/Pulse Opinion Research,C+,6/9 - 6/20,5000.0,lv,,,,0.0
North Carolina,Public Policy Polling,B,6/17 - 6/18,610.0,rv,48.0,47.0,3.799999999999997,0.1
Florida,Quinnipiac University,B+,6/12 - 6/17,1279.0,rv,49.0,42.0,-4.100000000000001,1.8
Florida,St. Pete Polls,C+,6/15 - 6/16,3095.0,lv,47.0,47.0,0.6000000000000014,0.3
South Carolina,Change Research,C,6/11 - 6/14,2312.0,rv,37.0,54.0,24.799999999999997,0.3
Wisconsin,Firehouse Strategies/Øptimus,C/D,6/11 - 6/13,535.0,lv,45.0,40.0,,0.0
Michigan,Firehouse Strategies/Øptimus,C/D,6/11 - 6/13,587.0,lv,45.0,43.0,,0.0
Pennsylvania,Firehouse Strategies/Øptimus,C/D,6/11 - 6/13,565.0,lv,41.0,43.0,,0.0
US,Fox News,A-,6/9 - 6/12,1001.0,rv,48.0,40.0,,0.0
Michigan,EPIC-MRA,B+,6/8 - 6/12,600.0,lv,52.0,41.0,,0.0
Kentucky,Gravis Marketing,C+,6/11 - 6/12,741.0,lv,35.0,57.0,26.900000000000006,0.5
US,Ipsos,B-,6/10 - 6/11,1000.0,a,45.0,35.0,,0.0
US,Quinnipiac University,B+,6/6 - 6/10,1214.0,rv,52.0,41.0,-6.899999999999999,0.1
US,Morning Consult,B/C,6/7 - 6/9,1991.0,rv,41.0,33.0,,0.0
US,Rasmussen Reports/Pulse Opinion Research,C+,5/26 - 6/6,5000.0,lv,,,,0.0
New York,Siena College,A-,6/2 - 6/6,812.0,rv,,,-19.700000000000003,0.2
US,Basswood Research,B/C,6/3 - 6/6,1200.0,lv,47.0,44.0,-2.1000000000000014,0.6
US,Ipsos,B-,5/29 - 6/5,4416.0,a,45.0,35.0,-3.3999999999999986,0.1
Texas,Quinnipiac University,B+,5/29 - 6/4,1159.0,rv,46.0,45.0,0.5,1.7
North Carolina,Emerson College,A-,5/31 - 6/3,932.0,rv,54.0,46.0,-7.799999999999997,2.1
North Carolina,Spry Strategies,C/D,5/25 - 6/1,730.0,lv,41.0,52.0,7.100000000000001,0.1
Michigan,Glengariff Group Inc.,B/C,5/28 - 5/30,600.0,lv,48.0,40.0,-9.600000000000001,0.1
US,HarrisX,C+,5/26 - 5/27,1003.0,rv,29.0,38.0,,0.0
US,HarrisX,C+,5/25 - 5/26,1001.0,rv,40.0,37.0,,0.0
US,Rasmussen Reports/Pulse Opinion Research,C+,5/12 - 5/23,5000.0,lv,46.0,44.0,-2.6999999999999957,0.1
US,Change Research,C,5/18 - 5/21,2904.0,lv,47.0,46.0,0.29999999999999716,0.5
Florida,Florida Atlantic University,B/C,5/16 - 5/19,1007.0,rv,49.0,51.0,,0.0
North Dakota,DFM Research,B/C,5/14 - 5/18,400.0,a,39.0,54.0,,0.0
US,Civiqs,0,5/12 - 5/14,1650.0,rv,48.0,44.0,,0.0
US,Fox News,A-,5/11 - 5/14,1008.0,rv,47.0,39.0,,0.0
Pennsylvania,Quinnipiac University,B+,5/9 - 5/14,978.0,rv,51.0,43.0,-6.300000000000004,1.4
US,Emerson College,A-,5/10 - 5/13,1006.0,rv,54.0,46.0,-4.799999999999997,0.1
US,Zogby Analytics,C,5/2 - 5/9,903.0,lv,48.0,40.0,,0.0
US,Rasmussen Reports/Pulse Opinion Research,C+,4/28 - 5/9,5000.0,lv,,,,0.0
Arizona,OH Predictive Insights,B/C,5/1 - 5/2,600.0,lv,45.0,45.0,1.5999999999999979,0.1
US,HarrisX,C+,4/30 - 5/1,1000.0,rv,28.0,39.0,,0.0
Iowa,WPA Intelligence,B/C,4/27 - 4/30,200.0,lv,44.0,49.0,3.5,0.2
Wisconsin,WPA Intelligence,B/C,4/27 - 4/30,200.0,lv,42.0,46.0,2.6000000000000014,0.2
Texas,WPA Intelligence,B/C,4/27 - 4/30,200.0,lv,42.0,49.0,5.299999999999997,0.2
Michigan,WPA Intelligence,B/C,4/27 - 4/30,200.0,lv,45.0,42.0,-3.700000000000003,0.2
Pennsylvania,WPA Intelligence,B/C,4/27 - 4/30,200.0,lv,46.0,45.0,-1.8999999999999986,0.2
Florida,WPA Intelligence,B/C,4/27 - 4/30,200.0,lv,44.0,48.0,2.6000000000000014,0.2
US,HarrisX,C+,4/28 - 4/29,1002.0,rv,40.0,37.0,,0.0
US,CNN/SSRS,A/B,4/25 - 4/28,456.0,rv,50.0,45.0,-7.099999999999994,0.1
Texas,Emerson College,A-,4/25 - 4/28,799.0,rv,50.0,50.0,2.3999999999999986,0.2
US,HarrisX,C+,4/25 - 4/26,1000.0,rv,43.0,37.0,,0.0
US,Rasmussen Reports/Pulse Opinion Research,C+,4/14 - 4/25,5000.0,lv,40.0,44.0,,0.0
US,Morning Consult,B/C,4/19 - 4/21,1992.0,rv,42.0,34.0,,0.0
Wisconsin,Zogby Analytics,C,4/15 - 4/18,802.0,lv,49.0,41.0,-9.5,0.3
Pennsylvania,Tulchin Research,B/C,4/14 - 4/18,400.0,lv,51.0,43.0,-4.5,0.2
Michigan,Tulchin Research,B/C,4/14 - 4/18,400.0,lv,52.0,41.0,-7.199999999999996,0.2
Wisconsin,Tulchin Research,B/C,4/14 - 4/18,400.0,lv,52.0,42.0,-6.299999999999997,0.2
US,Emerson College,A-,4/11 - 4/14,914.0,rv,52.0,48.0,,0.0
US,Rasmussen Reports/Pulse Opinion Research,C+,3/31 - 4/11,5000.0,lv,44.0,47.0,,0.0
Missouri,Remington Research Group,C-,4/10 - 4/11,955.0,lv,42.0,51.0,,0.0
US,Civiqs,0,4/6 - 4/9,1584.0,rv,45.0,45.0,,0.0
Massachusetts,Emerson College,A-,4/4 - 4/7,761.0,rv,67.0,33.0,-31.5,1.4
US,HarrisX,C+,4/3 - 4/4,1002.0,rv,28.0,37.0,,0.0
US,HarrisX,C+,3/31 - 4/1,1000.0,rv,43.0,37.0,,0.0
Nevada,Emerson College,A-,3/28 - 3/30,719.0,rv,50.0,50.0,4.300000000000004,0.3
US,Rasmussen Reports/Pulse Opinion Research,C+,3/17 - 3/28,5000.0,lv,49.0,44.0,,0.0
Pennsylvania,Emerson College,A-,3/26 - 3/28,808.0,rv,54.0,46.0,-5.799999999999997,1.6
US,Public Policy Polling,B,3/27 - 3/28,846.0,rv,51.0,41.0,-6.0,0.9
Iowa,Emerson College,A-,3/21 - 3/24,707.0,rv,52.0,48.0,6.0,0.2
Pennsylvania,Firehouse Strategies/Øptimus,C/D,3/19 - 3/21,632.0,lv,48.0,43.0,,0.0
