state,ev,pvi,pct_vote,elasticity,third_index,sabato,cook,inside,bitecofer,politico,bitecofer_margin
Tennessee,11,27.95,0.010509043,0.98,0.654719198,Solid R,Solid R,Solid R,Solid R,Solid R,26.64
Texas,38,13.49,0.014475047,1.03,0.684989848,Lean R,Likely R,Solid R,Likely R,Lean R,10.24
Utah,6,32.06,0.044593003,1.06,1.996679046,Solid R,Solid R,Solid R,Solid R,Likely R,29.5
Vermont,3,-31.6,0.003357011,1.12,1.772926191,Solid D,Solid D,Solid D,Solid D,Solid D,-29.76
Virginia,13,-2.88,0.015210546,0.94,0.86129457,Likely D,Likely D,Solid D,Likely D,Lean D,-8.38
Washington,12,-13.98,0.002676769,1,1.507129231,Solid D,Solid D,Solid D,Solid D,Solid D,-17.32
West Virginia,5,36.68,0.018139787,1.04,0.765063837,Solid R,Solid R,Solid R,Solid R,Solid R,40.72
Wisconsin,10,3.24,0.064871648,1.07,1.036797643,Tossup,Tossup,Tossup,Lean D,Tossup,-1.42
Wyoming,3,48.09,0.008183285,1.08,1.567561847,Solid R,Solid R,Solid R,Solid R,Solid R,42.16
District of Columbia,3,-81,0.002278783,0.8,1.18179531,Solid D,Solid D,Solid D,Solid D,Solid D,-54.7708
Maine-1,1,-17.15,0.021525576,1.13,1.222276158,Solid D,Solid D,,Solid D,Solid D,-20
Maine-2,1,6.35,0.001850477,1.13,1.417425437,Lean R,Lean R,,Tossup,Lean R,5.2
Nebraska-1,1,24.8,0.028819608,1.01,1.206093713,Solid R,Solid R,,Solid R,Solid R,24.8
Nebraska-2,1,6.8,0.023990976,1.01,1.087108076,Tossup,Lean R,,Tossup,Tossup,3.2
Nebraska-3,1,56.75,0.005167201,1.01,1.089091106,Solid R,Solid R,,Solid R,Solid R,56.8
