state,expert,rating,margin
North Carolina,Inside Elections,Tossup,0.0
North Carolina,Bitecofer,Tossup,0.0
North Carolina,Politico,Tossup,0.0
North Carolina,Adjusted Margin,0,1.3
North Dakota,Crystal Ball 2020,Solid R,0.0
North Dakota,Cook Political Report,Solid R,0.0
North Dakota,Inside Elections,Solid R,0.0
North Dakota,Bitecofer,Solid R,0.0
North Dakota,Politico,Solid R,0.0
North Dakota,Adjusted Margin,0,33.2
Ohio,Crystal Ball 2020,Lean R,0.0
Ohio,Cook Political Report,Lean R,0.0
Ohio,Inside Elections,Likely R,0.0
Ohio,Bitecofer,Lean R,0.0
Ohio,Politico,Lean R,0.0
Ohio,Adjusted Margin,0,6.9
Oklahoma,Crystal Ball 2020,Solid R,0.0
Oklahoma,Cook Political Report,Solid R,0.0
Oklahoma,Inside Elections,Solid R,0.0
Oklahoma,Bitecofer,Solid R,0.0
Oklahoma,Politico,Solid R,0.0
Oklahoma,Adjusted Margin,0,36.8
Oregon,Crystal Ball 2020,Solid D,0.0
Oregon,Cook Political Report,Solid D,0.0
Oregon,Inside Elections,Solid D,0.0
Oregon,Bitecofer,Solid D,0.0
Oregon,Politico,Likely D,0.0
Oregon,Adjusted Margin,0,-17.5
Pennsylvania,Crystal Ball 2020,Tossup,0.0
Pennsylvania,Cook Political Report,Tossup,0.0
Pennsylvania,Inside Elections,Tilt D,0.0
Pennsylvania,Bitecofer,Lean D,0.0
Pennsylvania,Politico,Tossup,0.0
Pennsylvania,Adjusted Margin,0,-1.1
Rhode Island,Crystal Ball 2020,Solid D,0.0
Rhode Island,Cook Political Report,Solid D,0.0
Rhode Island,Inside Elections,Solid D,0.0
Rhode Island,Bitecofer,Solid D,0.0
Rhode Island,Politico,Likely D,0.0
Rhode Island,Adjusted Margin,0,-19.3
South Carolina,Crystal Ball 2020,Solid R,0.0
South Carolina,Cook Political Report,Solid R,0.0
South Carolina,Inside Elections,Solid R,0.0
South Carolina,Bitecofer,Solid R,0.0
South Carolina,Politico,Solid R,0.0
South Carolina,Adjusted Margin,0,18.3
South Dakota,Crystal Ball 2020,Solid R,0.0
South Dakota,Cook Political Report,Solid R,0.0
South Dakota,Inside Elections,Solid R,0.0
South Dakota,Bitecofer,Solid R,0.0
South Dakota,Politico,Solid R,0.0
South Dakota,Adjusted Margin,0,29.3
Tennessee,Crystal Ball 2020,Solid R,0.0
Tennessee,Cook Political Report,Solid R,0.0
Tennessee,Inside Elections,Solid R,0.0
Tennessee,Bitecofer,Solid R,0.0
Tennessee,Politico,Solid R,0.0
Tennessee,Adjusted Margin,0,27.3
Texas,Crystal Ball 2020,Lean R,0.0
Texas,Cook Political Report,Likely R,0.0
Texas,Inside Elections,Solid R,0.0
Texas,Bitecofer,Likely R,0.0
Texas,Politico,Lean R,0.0
Texas,Adjusted Margin,0,10.6
Utah,Crystal Ball 2020,Solid R,0.0
Utah,Cook Political Report,Solid R,0.0
Utah,Inside Elections,Solid R,0.0
Utah,Bitecofer,Solid R,0.0
Utah,Politico,Likely R,0.0
Utah,Adjusted Margin,0,27.5
Vermont,Crystal Ball 2020,Solid D,0.0
Vermont,Cook Political Report,Solid D,0.0
Vermont,Inside Elections,Solid D,0.0
Vermont,Bitecofer,Solid D,0.0
Vermont,Politico,Solid D,0.0
Vermont,Adjusted Margin,0,-31.6
Virginia,Crystal Ball 2020,Likely D,0.0
Virginia,Cook Political Report,Likely D,0.0
Virginia,Inside Elections,Solid D,0.0
Virginia,Bitecofer,Likely D,0.0
Virginia,Politico,Lean D,0.0
Virginia,Adjusted Margin,0,-12.7
Washington,Crystal Ball 2020,Solid D,0.0
Washington,Cook Political Report,Solid D,0.0
Washington,Inside Elections,Solid D,0.0
Washington,Bitecofer,Solid D,0.0
Washington,Politico,Solid D,0.0
Washington,Adjusted Margin,0,-19.9
West Virginia,Crystal Ball 2020,Solid R,0.0
West Virginia,Cook Political Report,Solid R,0.0
West Virginia,Inside Elections,Solid R,0.0
West Virginia,Bitecofer,Solid R,0.0
West Virginia,Politico,Solid R,0.0
West Virginia,Adjusted Margin,0,37.1
Wisconsin,Crystal Ball 2020,Tossup,0.0
Wisconsin,Cook Political Report,Tossup,0.0
Wisconsin,Inside Elections,Tossup,0.0
Wisconsin,Bitecofer,Lean D,0.0
Wisconsin,Politico,Tossup,0.0
Wisconsin,Adjusted Margin,0,-0.7
Wyoming,Crystal Ball 2020,Solid R,0.0
Wyoming,Cook Political Report,Solid R,0.0
Wyoming,Inside Elections,Solid R,0.0
Wyoming,Bitecofer,Solid R,0.0
Wyoming,Politico,Solid R,0.0
Wyoming,Adjusted Margin,0,46.5
District of Columbia,Crystal Ball 2020,Solid D,0.0
District of Columbia,Cook Political Report,Solid D,0.0
District of Columbia,Inside Elections,Solid D,0.0
District of Columbia,Bitecofer,Solid D,0.0
District of Columbia,Politico,Solid D,0.0
District of Columbia,Adjusted Margin,0,-56.8
Maine-1,Crystal Ball 2020,Solid D,0.0
Maine-1,Cook Political Report,Solid D,0.0
Maine-1,Inside Elections,-,0.0
Maine-1,Bitecofer,Solid D,0.0
Maine-1,Politico,Solid D,0.0
Maine-1,Adjusted Margin,0,-20.0
Maine-2,Crystal Ball 2020,Lean R,0.0
Maine-2,Cook Political Report,Lean R,0.0
Maine-2,Inside Elections,-,0.0
Maine-2,Bitecofer,Tossup,0.0
Maine-2,Politico,Lean R,0.0
Maine-2,Adjusted Margin,0,4.1
Nebraska-1,Crystal Ball 2020,Solid R,0.0
Nebraska-1,Cook Political Report,Solid R,0.0
Nebraska-1,Inside Elections,-,0.0
Nebraska-1,Bitecofer,Solid R,0.0
Nebraska-1,Politico,Solid R,0.0
Nebraska-1,Adjusted Margin,0,24.8
Nebraska-2,Crystal Ball 2020,Tossup,0.0
Nebraska-2,Cook Political Report,Lean R,0.0
Nebraska-2,Inside Elections,-,0.0
Nebraska-2,Bitecofer,Tossup,0.0
Nebraska-2,Politico,Tossup,0.0
Nebraska-2,Adjusted Margin,0,1.4
Nebraska-3,Crystal Ball 2020,Solid R,0.0
Nebraska-3,Cook Political Report,Solid R,0.0
Nebraska-3,Inside Elections,-,0.0
Nebraska-3,Bitecofer,Solid R,0.0
Nebraska-3,Politico,Solid R,0.0
Nebraska-3,Adjusted Margin,0,56.8
