state,index,weight,margin
Connecticut,Fundamentals,50.7,-16.4
Delaware,Fundamentals,49.1,-17.1
Florida,Fundamentals,38.1,1.9
Georgia,Fundamentals,42.2,6.4
Hawaii,Fundamentals,49.3,-40.9
Idaho,Fundamentals,52.5,33.9
Illinois,Fundamentals,48.5,-17.7
Indiana,Fundamentals,48.7,17.2
Iowa,Fundamentals,39.4,4.1
Kansas,Fundamentals,49.3,19.4
Kentucky,Fundamentals,52.5,28.2
Louisiana,Fundamentals,51.7,22.4
Maine,Fundamentals,47.0,-8.0
Maryland,Fundamentals,48.7,-27.8
Massachusetts,Fundamentals,47.9,-30.1
Michigan,Fundamentals,36.6,-2.4
Minnesota,Fundamentals,46.1,-4.5
Mississippi,Fundamentals,51.6,18.3
Missouri,Fundamentals,48.8,17.5
Montana,Fundamentals,49.6,16.2
Nebraska,Fundamentals,53.0,26.9
Nevada,Fundamentals,42.3,-2.8
New Hampshire,Fundamentals,41.7,-3.7
New Jersey,Fundamentals,51.1,-15.8
New Mexico,Fundamentals,48.6,-11.7
New York,Fundamentals,49.0,-25.0
North Carolina,Fundamentals,35.6,3.1
North Dakota,Fundamentals,49.1,33.2
Ohio,Fundamentals,43.6,7.0
Oklahoma,Fundamentals,52.7,35.2
Oregon,Fundamentals,50.1,-13.2
Pennsylvania,Fundamentals,37.8,-1.3
Rhode island,Fundamentals,50.9,-22.0
South Carolina,Fundamentals,46.4,14.3
South Dakota,Fundamentals,50.2,28.8
Tennessee,Fundamentals,51.7,25.5
Texas,Fundamentals,39.6,10.8
Utah,Fundamentals,49.9,29.3
Vermont,Fundamentals,49.2,-34.6
Virginia,Fundamentals,44.2,-5.2
Washington,Fundamentals,50.1,-16.5
West Virginia,Fundamentals,52.7,34.0
Wisconsin,Fundamentals,35.1,0.4
Wyoming,Fundamentals,48.0,45.2
District of Columbia,Fundamentals,47.2,-82.8
Maine-1,Fundamentals,55.6,-20.2
Maine-2,Fundamentals,55.6,3.3
Nebraska-1,Fundamentals,55.6,22.2
Nebraska-2,Fundamentals,55.6,4.2
Nebraska-3,Fundamentals,55.6,54.2
Alabama,Experts,41.4,28.7
Alaska,Experts,37.6,18.0
Arizona,Experts,30.8,1.6
Arkansas,Experts,42.1,31.1
California,Experts,29.5,-27.2
Colorado,Experts,37.9,-13.1
Connecticut,Experts,40.5,-19.8
Delaware,Experts,39.3,-18.6
Florida,Experts,30.5,0.8
Georgia,Experts,33.8,7.3
Hawaii,Experts,39.4,-38.9
Idaho,Experts,42.0,35.2
Illinois,Experts,38.8,-19.7
Indiana,Experts,39.0,19.0
Iowa,Experts,31.5,4.7
Kansas,Experts,39.4,20.8
Kentucky,Experts,42.0,30.0
Louisiana,Experts,41.4,24.0
Maine,Experts,37.6,-5.9
Maryland,Experts,39.0,-26.5
Massachusetts,Experts,38.3,-28.1
Michigan,Experts,29.3,-3.0
Minnesota,Experts,36.8,-8.6
Mississippi,Experts,41.3,19.7
Missouri,Experts,39.1,18.6
Montana,Experts,39.7,18.9
Nebraska,Experts,42.4,26.9
Nevada,Experts,33.9,-4.8
New Hampshire,Experts,33.4,-5.9
New Jersey,Experts,40.9,-20.4
New Mexico,Experts,38.9,-16.0
New York,Experts,39.2,-24.7
North Carolina,Experts,28.5,2.9
North Dakota,Experts,39.3,32.6
Ohio,Experts,34.9,9.4
Oklahoma,Experts,42.2,36.7
Oregon,Experts,40.1,-18.4
Pennsylvania,Experts,30.2,-1.4
Rhode island,Experts,40.7,-20.7
South Carolina,Experts,37.1,17.8
South Dakota,Experts,40.2,28.7
Tennessee,Experts,41.4,27.1
Texas,Experts,31.7,11.9
Utah,Experts,40.0,30.9
Vermont,Experts,39.4,-31.6
Virginia,Experts,35.4,-12.4
Washington,Experts,40.1,-19.8
West Virginia,Experts,42.2,37.2
Wisconsin,Experts,28.1,-0.9
Wyoming,Experts,38.4,46.1
District of Columbia,Experts,37.8,-56.8
Maine-1,Experts,44.4,-20.0
Maine-2,Experts,44.4,5.4
Nebraska-1,Experts,44.4,24.8
Nebraska-2,Experts,44.4,2.7
Nebraska-3,Experts,44.4,56.8
Alabama,State Similarity,6.9,24.2
Alaska,State Similarity,14.8,10.9
Arizona,State Similarity,14.4,2.5
Arkansas,State Similarity,5.2,22.7
California,State Similarity,8.1,-32.1
Colorado,State Similarity,10.8,-3.1
Connecticut,State Similarity,8.3,-15.2
Delaware,State Similarity,11.5,-18.4
Florida,State Similarity,14.0,-0.5
Georgia,State Similarity,14.0,3.3
Hawaii,State Similarity,11.3,-33.7
Idaho,State Similarity,5.6,21.4
Illinois,State Similarity,12.6,-19.0
Indiana,State Similarity,12.3,15.5
Iowa,State Similarity,13.7,2.3
Kansas,State Similarity,11.3,17.9
Kentucky,State Similarity,3.8,24.9
Louisiana,State Similarity,6.9,18.9
Maine,State Similarity,13.4,-7.6
Maryland,State Similarity,12.3,-22.7
Massachusetts,State Similarity,11.4,-22.2
Michigan,State Similarity,13.3,-3.8
Minnesota,State Similarity,15.2,-5.0
Mississippi,State Similarity,7.2,14.1
Missouri,State Similarity,11.3,14.0
Montana,State Similarity,10.4,14.8
Nebraska,State Similarity,4.6,9.7
Nevada,State Similarity,14.5,-4.8
New Hampshire,State Similarity,13.1,-4.3
New Jersey,State Similarity,8.0,-13.5
New Mexico,State Similarity,12.5,-5.3
New York,State Similarity,11.6,-17.8
North Carolina,State Similarity,12.4,0.9
North Dakota,State Similarity,10.9,33.0
Ohio,State Similarity,15.7,5.2
Oklahoma,State Similarity,5.1,24.8
Oregon,State Similarity,9.8,-13.3
Pennsylvania,State Similarity,13.3,-2.6
Rhode island,State Similarity,8.5,-20.1
South Carolina,State Similarity,12.4,10.1
South Dakota,State Similarity,9.6,28.1
Tennessee,State Similarity,6.9,22.0
Texas,State Similarity,11.9,7.6
Utah,State Similarity,9.5,29.2
Vermont,State Similarity,11.4,-34.4
Virginia,State Similarity,13.5,-6.5
Washington,State Similarity,6.9,-20.6
West Virginia,State Similarity,5.1,24.0
Wisconsin,State Similarity,11.9,-1.4
Wyoming,State Similarity,13.6,44.7
District of Columbia,State Similarity,15.0,-84.4
Maine-1,State Similarity,0.0,0.0
Maine-2,State Similarity,0.0,0.0
Nebraska-1,State Similarity,0.0,0.0
Nebraska-2,State Similarity,0.0,0.0
Nebraska-3,State Similarity,0.0,0.0
