State,abbrev,Seat,id,districtType,incumbent,incumbentParty,openRace,pvi,incumbencyBump,projMargin,win
Connecticut,CT,1,CT01,Sparse suburban,"Larson, John",(D),,-20.97,-3,-31.07,1.92
Connecticut,CT,2,CT02,Rural-suburban mix,"Courtney, Joe",(D),,-9.45,-3,-19.55,9.62
Connecticut,CT,3,CT03,Sparse suburban,"DeLauro, Rosa",(D),,-17.54,-3,-27.64,3.27
Connecticut,CT,4,CT04,Sparse suburban,"Himes, Jim",(D),,-16.34,-3,-26.44,3.90
Connecticut,CT,5,CT05,Sparse suburban,"Hayes, Jahana",(D),,-2.77,-3,-12.87,19.54
Delaware,DE,1,DE00,Sparse suburban,"Blunt Rochester, Lisa",(D),,-14.84,-3,-24.94,4.82
Florida,FL,1,FL01,Rural-suburban mix,"Gaetz, Matt",(R),,42.08,3,37.98,99.43
Florida,FL,2,FL02,Rural-suburban mix,"Dunn, Neal",(R),,39.99,3,35.89,99.16
Florida,FL,3,FL03,Pure rural,,(R),OPEN,20.72,0,13.62,81.81
Florida,FL,4,FL04,Sparse suburban,"Rutherford, John",(R),,35.9,3,31.8,98.30
Florida,FL,5,FL05,Sparse suburban,"Lawson, Al",(D),,-24.17,-3,-34.27,1.12
Florida,FL,6,FL06,Sparse suburban,"Waltz, Michael",(R),,19.09,3,14.99,84.12
Florida,FL,7,FL07,Sparse suburban,"Murphy, Stephanie",(D),,-5.01,-3,-15.11,15.69
Florida,FL,8,FL08,Sparse suburban,"Posey, Bill",(R),,25.42,3,21.32,92.24
Florida,FL,9,FL09,Sparse suburban,"Soto, Darren",(D),,-9.07,-3,-19.17,10.06
Florida,FL,10,FL10,Sparse suburban,"Demings, Val",(D),,-24.16,-3,-34.26,1.12
Florida,FL,11,FL11,Rural-suburban mix,"Webster, Dan",(R),,35.32,3,31.22,98.13
Florida,FL,12,FL12,Sparse suburban,"Bilirakis, Gus",(R),,22.61,3,18.51,89.14
Florida,FL,13,FL13,Dense suburban,"Crist, Charlie",(D),,-4.19,-3,-14.29,17.04
Florida,FL,14,FL14,Dense suburban,"Castor, Kathy",(D),,-15.74,-3,-25.84,4.25
Florida,FL,15,FL15,Sparse suburban,"Spano, Ross",(R),,12.97,3,8.87,72.29
Florida,FL,16,FL16,Sparse suburban,"Buchanan, Vern",(R),,14.98,3,10.88,76.59
Florida,FL,17,FL17,Rural-suburban mix,"Steube, Greg",(R),,30.1,3,26,95.85
Florida,FL,18,FL18,Sparse suburban,"Mast, Brian",(R),,13.59,3,9.49,73.65
Florida,FL,19,FL19,Sparse suburban,,(R),OPEN,28.36,0,21.26,92.18
Florida,FL,20,FL20,Urban-suburban mix,"Hastings, Alcee",(D),,-60.15,-3,-70.25,0.00
Florida,FL,21,FL21,Dense suburban,"Frankel, Lois",(D),,-17.42,-3,-27.52,3.33
Florida,FL,22,FL22,Dense suburban,"Deutch, Ted",(D),,-14.08,-3,-24.18,5.35
Florida,FL,23,FL23,Urban-suburban mix,"Wasserman Schultz, Debbie",(D),,-19.01,-3,-29.11,2.61
Florida,FL,24,FL24,Urban-suburban mix,"Wilson, Frederica",(D),,-65.52,-3,-75.62,0.00
Florida,FL,25,FL25,Urban-suburban mix,"Diaz-Balart, Mario",(R),,16.38,3,12.28,79.35
Florida,FL,26,FL26,Urban-suburban mix,"Mucarsel-Powell, Debbie",(D),,-4.09,-3,-14.19,17.21
Florida,FL,27,FL27,Urban-suburban mix,"Shalala, Donna ",(D),,-6.99,-3,-17.09,12.73
Georgia,GA,1,GA01,Rural-suburban mix,"Carter, Buddy",(R),,20.4,3,16.3,86.14
Georgia,GA,2,GA02,Rural-suburban mix,"Bishop, Sanford",(D),,-10.53,-3,-20.63,8.45
Georgia,GA,3,GA03,Rural-suburban mix,"Ferguson, Drew",(R),,36.62,3,32.52,98.49
Georgia,GA,4,GA04,Sparse suburban,"Johnson, Hank",(D),,-49.46,-3,-59.56,0.00
Georgia,GA,5,GA05,Dense suburban,"Lewis, John",(D),,-70.24,-3,-80.34,0.00
Georgia,GA,6,GA06,Dense suburban,"McBath, Lucy",(D),,7.72,-3,-2.38,43.70
Georgia,GA,7,GA07,Sparse suburban,,(R),OPEN,10.28,0,3.18,58.39
Georgia,GA,8,GA08,Pure rural,"Scott, Austin",(R),,30.7,3,26.6,96.19
Georgia,GA,9,GA09,Pure rural,,(R),OPEN,63.84,0,56.74,99.99
Georgia,GA,10,GA10,Pure rural,"Hice, Jody",(R),,30.91,3,26.81,96.31
Georgia,GA,11,GA11,Sparse suburban,"Loudermilk, Barry",(R),,30.62,3,26.52,96.15
Georgia,GA,12,GA12,Pure rural,"Allen, Rick",(R),,22.18,3,18.08,88.60
Georgia,GA,13,GA13,Sparse suburban,"Scott, David",(D),,-42.28,-3,-52.38,0.02
Georgia,GA,14,GA14,Rural-suburban mix,,(R),OPEN,57.65,0,50.55,99.96
Hawaii,HI,1,HI01,Urban-suburban mix,"Case, Ed",(D),,-36.08,-3,-46.18,0.10
Hawaii,HI,2,HI02,Rural-suburban mix,,(D),OPEN,-38.24,0,-45.34,0.13
Iowa,IA,1,IA01,Rural-suburban mix,"Finkenauer, Abby",(D),,4.1,-3,-6,34.46
Iowa,IA,2,IA02,Rural-suburban mix,,(D),OPEN,0.5,0,-6.6,33.00
Iowa,IA,3,IA03,Sparse suburban,"Axne, Cindy",(D),,6.57,-3,-3.53,40.70
Iowa,IA,4,IA04,Pure rural,"King, Steve",(R),,19.83,3,15.73,85.28
Idaho,ID,1,ID01,Rural-suburban mix,"Fulcher, Russ",(R),,40.11,3,36.01,99.18
Idaho,ID,2,ID02,Rural-suburban mix,"Simpson, Mike",(R),,29.01,3,24.91,95.16
Illinois,IL,1,IL01,Urban-suburban mix,"Rush, Bobby",(D),,-49.18,-3,-59.28,0.00
Illinois,IL,2,IL02,Dense suburban,"Kelly, Robin",(D),,-55.47,-3,-65.57,0.00
Illinois,IL,3,IL03,Urban-suburban mix,"Lipinski, Dan",(D),,-24.21,-3,-34.31,1.11
Illinois,IL,4,IL04,Pure urban,"Garcia, Chuy",(D),,-65.12,-3,-75.22,0.00
Illinois,IL,5,IL05,Pure urban,"Quigley, Mike",(D),,-43.22,-3,-53.32,0.02
Illinois,IL,6,IL06,Sparse suburban,"Casten, Sean",(D),,-0.37,-3,-10.47,24.26
Illinois,IL,7,IL07,Pure urban,"Davis, Danny",(D),,-71.41,-3,-81.51,0.00
Illinois,IL,8,IL08,Dense suburban,"Krishnamoorthi, Raja",(D),,-20.61,-3,-30.71,2.03
Illinois,IL,9,IL09,Urban-suburban mix,"Schakowsky, Jan",(D),,-39.46,-3,-49.56,0.05
Illinois,IL,10,IL10,Sparse suburban,"Schneider, Brad",(D),,-23.71,-3,-33.81,1.21
Illinois,IL,11,IL11,Dense suburban,"Foster, Bill",(D),,-19.56,-3,-29.66,2.40
Illinois,IL,12,IL12,Rural-suburban mix,"Bost, Mike",(R),,14.5,3,10.4,75.59
Illinois,IL,13,IL13,Rural-suburban mix,"Davis, Rodney",(R),,8.03,3,3.93,60.33
Illinois,IL,14,IL14,Sparse suburban,"Underwood, Lauren",(D),,5.71,-3,-4.39,38.49
Illinois,IL,15,IL15,Pure rural,,(R),OPEN,47.79,0,40.69,99.67
Illinois,IL,16,IL16,Rural-suburban mix,"Kinzinger, Adam",(R),,21.91,3,17.81,88.25
Illinois,IL,17,IL17,Rural-suburban mix,"Bustos, Cheri",(D),,-7.07,-3,-17.17,12.62
Illinois,IL,18,IL18,Rural-suburban mix,"LaHood, Darin",(R),,35.3,3,31.2,98.12
Indiana,IN,1,IN01,Sparse suburban,,(D),OPEN,-16.44,0,-23.54,5.83
Indiana,IN,2,IN02,Rural-suburban mix,"Walorski, Jackie",(R),,21.37,3,17.27,87.52
Indiana,IN,3,IN03,Rural-suburban mix,"Banks, Jim",(R),,36.87,3,32.77,98.55
Indiana,IN,4,IN04,Rural-suburban mix,"Baird, Jim",(R),,35.6,3,31.5,98.21
Indiana,IN,5,IN05,Sparse suburban,,(R),OPEN,18.27,0,11.17,77.18
Indiana,IN,6,IN06,Pure rural,"Pence, Greg",(R),,39.56,3,35.46,99.10
Indiana,IN,7,IN07,Dense suburban,"Carson, Andre",(D),,-21.18,-3,-31.28,1.85
Indiana,IN,8,IN08,Rural-suburban mix,"Bucshon, Larry",(R),,35.21,3,31.11,98.10
Indiana,IN,9,IN09,Rural-suburban mix,"Hollingsworth, Trey",(R),,24.77,3,20.67,91.59
Kansas,KS,1,KS01,Pure rural,,(R),OPEN,46.04,0,38.94,99.53
Kansas,KS,2,KS02,Pure rural,"Watkins, Steve",(R),,15.17,3,11.07,76.97
Kansas,KS,3,KS03,Dense suburban,"Davids, Sharice",(D),,1.25,-3,-8.85,27.76
Kansas,KS,4,KS04,Sparse suburban,"Estes, Ron",(R),,28.46,3,24.36,94.78
Kentucky,KY,1,KY01,Pure rural,"Comer, James",(R),,47.16,3,43.06,99.80
Kentucky,KY,2,KY02,Pure rural,"Guthrie, Brett",(R),,42,3,37.9,99.42
Kentucky,KY,3,KY03,Dense suburban,"Yarmuth, John",(D),,-14.31,-3,-24.41,5.18
Kentucky,KY,4,KY04,Rural-suburban mix,"Massie, Thomas",(R),,36.64,3,32.54,98.50
Kentucky,KY,5,KY05,Pure rural,"Rogers, Hal",(R),,64.39,3,60.29,100.00
Kentucky,KY,6,KY06,Rural-suburban mix,"Barr, Andy",(R),,14.89,3,10.79,76.40
Louisiana,LA,1,LA01,Rural-suburban mix,"Scalise, Steve",(R),,48.71,3,44.61,99.85
Louisiana,LA,2,LA02,Dense suburban,"Richmond, Cedric",(D),,-50.32,-3,-60.42,0.00
Louisiana,LA,3,LA03,Rural-suburban mix,"Higgins, Clay",(R),,42.83,3,38.73,99.51
Louisiana,LA,4,LA04,Pure rural,"Johnson, Mike",(R),,31.71,3,27.61,96.72
Louisiana,LA,5,LA05,Pure rural,,(R),OPEN,37.19,0,30.09,97.76
Louisiana,LA,6,LA06,Rural-suburban mix,"Graves, Garret",(R),,42.23,3,38.13,99.45
Massachusetts,MA,1,MA01,Sparse suburban,"Neal, Richard",(D),,-19.14,-3,-29.24,2.56
Massachusetts,MA,2,MA02,Rural-suburban mix,"McGovern, Jim",(D),,-20.96,-3,-31.06,1.92
Massachusetts,MA,3,MA03,Sparse suburban,"Trahan, Lori",(D),,-19.48,-3,-29.58,2.43
Massachusetts,MA,4,MA04,Sparse suburban,,(D),OPEN,-20.87,0,-27.97,3.11
Massachusetts,MA,5,MA05,Urban-suburban mix,"Clark, Katherine",(D),,-40.98,-3,-51.08,0.03
Massachusetts,MA,6,MA06,Sparse suburban,"Moulton, Seth",(D),,-19.14,-3,-29.24,2.56
Massachusetts,MA,7,MA07,Pure urban,"Pressley, Ayanna",(D),,-68.94,-3,-79.04,0.00
Massachusetts,MA,8,MA08,Dense suburban,"Lynch, Stephen",(D),,-22.64,-3,-32.74,1.45
Massachusetts,MA,9,MA09,Sparse suburban,"Keating, Bill",(D),,-9.31,-3,-19.41,9.78
Maryland,MD,1,MD01,Rural-suburban mix,"Harris, Andy",(R),,30.2,3,26.1,95.91
Maryland,MD,2,MD02,Dense suburban,"Ruppersberger, Dutch",(D),,-24.47,-3,-34.57,1.06
Maryland,MD,3,MD03,Dense suburban,"Sarbanes, John",(D),,-29.29,-3,-39.39,0.43
Maryland,MD,4,MD04,Dense suburban,"Brown, Anthony",(D),,-52.59,-3,-62.69,0.00
Maryland,MD,5,MD05,Sparse suburban,"Hoyer, Steny",(D),,-32.01,-3,-42.11,0.25
Maryland,MD,6,MD06,Sparse suburban,"Trone, David",(D),,-12.28,-3,-22.38,6.78
Maryland,MD,7,MD07,Urban-suburban mix,VACANT ,(D),,-50.05,-3,-60.15,0.00
Maryland,MD,8,MD08,Dense suburban,"Raskin, Jamie",(D),,-29.98,-3,-40.08,0.38
Maine,ME,1,ME01,Rural-suburban mix,"Pingree, Chellie",(D),,-15.43,-3,-25.53,4.44
Maine,ME,2,ME02,Pure rural,"Golden, Jared",(D),,8.4,-3,-1.7,45.49
Michigan,MI,1,MI01,Pure rural,"Bergman, Jack",(R),,21.29,3,17.19,87.41
Michigan,MI,2,MI02,Rural-suburban mix,"Huizenga, Bill",(R),,19.95,3,15.85,85.47
Michigan,MI,3,MI03,Rural-suburban mix,"Amash, Justin",(I),,15.21,-3,5.11,63.33
Michigan,MI,4,MI04,Pure rural,"Moolenaar, John",(R),,28.51,3,24.41,94.82
Michigan,MI,5,MI05,Sparse suburban,"Kildee, Dan",(D),,-9.55,-3,-19.65,9.51
Michigan,MI,6,MI06,Rural-suburban mix,"Upton, Fred",(R),,11.15,3,7.05,68.08
Michigan,MI,7,MI07,Pure rural,"Walberg, Tim",(R),,16.59,3,12.49,79.75
Michigan,MI,8,MI08,Sparse suburban,"Slotkin, Elissa",(D),,6.78,-3,-3.32,41.24
Michigan,MI,9,MI09,Dense suburban,"Levin, Andy",(D),,-10.14,-3,-20.24,8.86
Michigan,MI,10,MI10,Rural-suburban mix,,(R),OPEN,32.24,0,25.14,95.31
Michigan,MI,11,MI11,Sparse suburban,"Stevens, Haley",(D),,4.71,-3,-5.39,35.97
Michigan,MI,12,MI12,Dense suburban,"Dingell, Debbie",(D),,-27.61,-3,-37.71,0.60
Michigan,MI,13,MI13,Dense suburban,"Tlaib, Rashida",(D),,-59.4,-3,-69.5,0.00
Michigan,MI,14,MI14,Dense suburban,"Lawrence, Brenda",(D),,-57.06,-3,-67.16,0.00
Minnesota,MN,1,MN01,Rural-suburban mix,"Hagedorn, Jim",(R),,11.95,3,7.85,69.96
Minnesota,MN,2,MN02,Sparse suburban,"Craig, Angie",(D),,3.26,-3,-6.84,32.42
Minnesota,MN,3,MN03,Sparse suburban,"Philips, Dean",(D),,-4.24,-3,-14.34,16.95
Minnesota,MN,4,MN04,Dense suburban,"McCollum, Betty",(D),,-27.74,-3,-37.84,0.58
Minnesota,MN,5,MN05,Urban-suburban mix,"Omar, Ilhan",(D),,-49.92,-3,-60.02,0.00
Minnesota,MN,6,MN06,Rural-suburban mix,"Emmer, Tom",(R),,28.31,3,24.21,94.67
Minnesota,MN,7,MN07,Pure rural,"Peterson, Collin",(D),,18.11,-10,1.01,52.68
Minnesota,MN,8,MN08,Pure rural,"Stauber, Pete",(R),,14.15,3,10.05,74.86
Missouri,MO,1,MO01,Dense suburban,"Clay, Lacy",(D),,-55.62,-3,-65.72,0.00
Missouri,MO,2,MO02,Dense suburban,"Wagner, Ann",(R),,13.17,3,9.07,72.73
Missouri,MO,3,MO03,Rural-suburban mix,"Luetkemeyer, Blaine",(R),,39.84,3,35.74,99.14
Missouri,MO,4,MO04,Pure rural,"Hartzler, Vicki",(R),,38.33,3,34.23,98.88
Missouri,MO,5,MO05,Dense suburban,"Cleaver, Emanuel",(D),,-14.57,-3,-24.67,5.00
Missouri,MO,6,MO06,Rural-suburban mix,"Graves, Sam",(R),,36.58,3,32.48,98.48
Missouri,MO,7,MO07,Rural-suburban mix,"Long, Billy",(R),,45.75,3,41.65,99.73
Missouri,MO,8,MO08,Pure rural,"Smith, Jason",(R),,54.81,3,50.71,99.96
Mississippi,MS,1,MS01,Pure rural,"Kelly, Trent",(R),,38.07,3,33.97,98.82
Mississippi,MS,2,MS02,Pure rural,"Thompson, Bennie",(D),,-26.67,-3,-36.77,0.71
Mississippi,MS,3,MS03,Pure rural,"Guest, Michael ",(R),,29.84,3,25.74,95.69
Mississippi,MS,4,MS04,Rural-suburban mix,"Palazzo, Steven",(R),,44.22,3,40.12,99.63
Montana,MT,1,MT00,Pure rural,,(R),OPEN,17.92,0,10.82,76.46
North Carolina,NC,1,NC01,Rural-suburban mix,"Butterfield, G.K.",(D),,-33,-3,-43.1,0.20
North Carolina,NC,2,NC02,Rural-suburban mix,,(R),OPEN,13.26,0,6.16,65.93
North Carolina,NC,3,NC03,Pure rural,"Murphy, Greg",(R),,25.49,3,21.39,92.31
North Carolina,NC,4,NC04,Sparse suburban,"Price, David",(D),,-37.61,-3,-47.71,0.07
North Carolina,NC,5,NC05,Rural-suburban mix,"Foxx, Virginia",(R),,20.85,3,16.75,86.79
North Carolina,NC,6,NC06,Rural-suburban mix,,(R),OPEN,18.94,0,11.84,78.50
North Carolina,NC,7,NC07,Pure rural,"Rouzer, David",(R),,20.16,3,16.06,85.78
North Carolina,NC,8,NC08,Pure rural,"Hudson, Richard",(R),,17.76,3,13.66,81.88
North Carolina,NC,9,NC09,Sparse suburban,"Bishop, Dan",(R),,11.72,3,7.62,69.43
North Carolina,NC,10,NC10,Rural-suburban mix,"McHenry, Patrick",(R),,26.46,3,22.36,93.20
North Carolina,NC,11,NC11,Pure rural,"Meadows, Mark",(R),,29.58,3,25.48,95.53
North Carolina,NC,12,NC12,Sparse suburban,"Adams, Alma",(D),,-37.24,-3,-47.34,0.08
North Carolina,NC,13,NC13,Rural-suburban mix,"Budd, Ted",(R),,12.82,3,8.72,71.95
North Dakota,ND,1,ND00,Rural-suburban mix,"Armstrong, Kelly",(R),,34.64,3,30.54,97.91
Nebraska,NE,1,NE01,Rural-suburban mix,"Fortenberry, Jeff",(R),,25.78,3,21.68,92.58
Nebraska,NE,2,NE02,Dense suburban,"Bacon, Don",(R),,7.81,3,3.71,59.77
Nebraska,NE,3,NE03,Pure rural,"Smith, Adrian",(R),,58.18,3,54.08,99.98
New Hampshire,NH,1,NH01,Rural-suburban mix,"Pappas, Chris",(D),,1.9,-3,-8.2,29.23
New Hampshire,NH,2,NH02,Pure rural,"Kuster, Annie",(D),,-2.61,-3,-12.71,19.84
New Jersey,NJ,1,NJ01,Dense suburban,"Norcross, Donald",(D),,-22.99,-3,-33.09,1.37
New Jersey,NJ,2,NJ02,Rural-suburban mix,"Van Drew, Jeff",(D),,3,-3,-7.1,31.80
New Jersey,NJ,3,NJ03,Sparse suburban,"Kim, Andy",(D),,6.95,-3,-3.15,41.68
New Jersey,NJ,4,NJ04,Sparse suburban,"Smith, Chris",(R),,18.35,3,14.25,82.89
New Jersey,NJ,5,NJ05,Dense suburban,"Gottheimer, Josh",(D),,-0.17,-3,-10.27,24.68
New Jersey,NJ,6,NJ06,Dense suburban,"Pallone, Frank",(D),,-16.5,-3,-26.6,3.81
New Jersey,NJ,7,NJ07,Sparse suburban,"Malinowski, Tom",(D),,3.08,-3,-7.02,31.99
New Jersey,NJ,8,NJ08,Pure urban,"Sires, Albio",(D),,-51.67,-3,-61.77,0.00
New Jersey,NJ,9,NJ09,Pure urban,"Pascrell, Bill",(D),,-31.23,-3,-41.33,0.29
New Jersey,NJ,10,NJ10,Pure urban,"Payne, Donald",(D),,-69.89,-3,-79.99,0.00
New Jersey,NJ,11,NJ11,Sparse suburban,"Sherrill, Mikie",(D),,-0.43,-3,-10.53,24.13
New Jersey,NJ,12,NJ12,Dense suburban,"Watson Coleman, Bonnie",(D),,-29.98,-3,-40.08,0.38
New Mexico,NM,1,NM01,Dense suburban,"Haaland, Deb",(D),,-14.05,-3,-24.15,5.37
New Mexico,NM,2,NM02,Rural-suburban mix,"Torres Smalls, Xochitl",(D),,9.62,-3,-0.48,48.72
New Mexico,NM,3,NM03,Pure rural,,(D),OPEN,-17.96,0,-25.06,4.74
Nevada,NV,1,NV01,Urban-suburban mix,"Titus, Dina",(D),,-27.05,-3,-37.15,0.66
Nevada,NV,2,NV02,Rural-suburban mix,"Amodei, Mark",(R),,18.93,3,14.83,83.86
Nevada,NV,3,NV03,Urban-suburban mix,"Lee, Susie ",(D),,1.48,-3,-8.62,28.28
