race,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,poll_id,question_id
2020D,National,1/27/20,Bernard Sanders,10/15/19,10/16/19,SurveyUSA,1071,lv,1.958543,0,17,16.35288,,62222,111069
2020D,National,1/27/20,Joseph R. Biden Jr.,10/15/19,10/16/19,SurveyUSA,1071,lv,1.958543,0,32,28.09701,,62222,111069
2020D,National,1/27/20,Pete Buttigieg,9/13/19,9/16/19,SurveyUSA,1017,lv,1.878932,0,5,4.574853,,59595,102794
2020D,National,1/27/20,Andrew Yang,9/13/19,9/16/19,SurveyUSA,1017,lv,1.878932,0,3,3.196302,,59595,102794
2020D,National,1/27/20,Amy Klobuchar,9/13/19,9/16/19,SurveyUSA,1017,lv,1.878932,0,1,1.295009,,59595,102794
2020D,National,1/27/20,Elizabeth Warren,9/13/19,9/16/19,SurveyUSA,1017,lv,1.878932,0,19,19.57954,,59595,102794
2020D,National,1/27/20,Bernard Sanders,9/13/19,9/16/19,SurveyUSA,1017,lv,1.878932,0,17,16.35288,,59595,102794
2020D,National,1/27/20,Joseph R. Biden Jr.,9/13/19,9/16/19,SurveyUSA,1017,lv,1.878932,0,33,29.05333,,59595,102794
2020D,National,1/27/20,Michael F. Bennet,8/1/19,8/5/19,SurveyUSA,999,lv,1.852029,0,0,0.1490463,,58835,100323
2020D,National,1/27/20,Pete Buttigieg,8/1/19,8/5/19,SurveyUSA,999,lv,1.852029,0,8,7.490086,,58835,100323
2020D,National,1/27/20,Tulsi Gabbard,8/1/19,8/5/19,SurveyUSA,999,lv,1.852029,0,0,0.1849419,,58835,100323
2020D,National,1/27/20,Andrew Yang,8/1/19,8/5/19,SurveyUSA,999,lv,1.852029,0,0,0.1403734,,58835,100323
2020D,National,1/27/20,Tom Steyer,8/1/19,8/5/19,SurveyUSA,999,lv,1.852029,0,0,-0.1995292,,58835,100323
2020D,National,1/27/20,John K. Delaney,8/1/19,8/5/19,SurveyUSA,999,lv,1.852029,0,0,0.0707054,,58835,100323
2020D,National,1/27/20,Amy Klobuchar,8/1/19,8/5/19,SurveyUSA,999,lv,1.852029,0,1,1.295009,,58835,100323
2020D,National,1/27/20,Elizabeth Warren,8/1/19,8/5/19,SurveyUSA,999,lv,1.852029,0,19,19.57954,,58835,100323
2020D,National,1/27/20,Bernard Sanders,8/1/19,8/5/19,SurveyUSA,999,lv,1.852029,0,20,19.3037,,58835,100323
2020D,National,1/27/20,Joseph R. Biden Jr.,8/1/19,8/5/19,SurveyUSA,999,lv,1.852029,0,33,29.05333,,58835,100323
2020D,New Hampshire,1/27/20,Michael F. Bennet,11/6/19,11/10/19,Quinnipiac University,1134,lv,1.644289,0,1,0.9106805,0.9698286,62596,112871
2020D,New Hampshire,1/27/20,Pete Buttigieg,11/6/19,11/10/19,Quinnipiac University,1134,lv,1.644289,0,15,14.29558,13.22565,62596,112871
2020D,New Hampshire,1/27/20,Tulsi Gabbard,11/6/19,11/10/19,Quinnipiac University,1134,lv,1.644289,0,6,6.332222,5.903797,62596,112871
2020D,New Hampshire,1/27/20,Andrew Yang,11/6/19,11/10/19,Quinnipiac University,1134,lv,1.644289,0,4,4.187136,5.50476,62596,112871
2020D,New Hampshire,1/27/20,Tom Steyer,11/6/19,11/10/19,Quinnipiac University,1134,lv,1.644289,0,3,3.378009,4.674963,62596,112871
2020D,New Hampshire,1/27/20,John K. Delaney,11/6/19,11/10/19,Quinnipiac University,1134,lv,1.644289,0,0,0.1516795,0.0987401,62596,112871
2020D,New Hampshire,1/27/20,Amy Klobuchar,11/6/19,11/10/19,Quinnipiac University,1134,lv,1.644289,0,3,2.846454,4.062564,62596,112871
2020D,New Hampshire,1/27/20,Elizabeth Warren,11/6/19,11/10/19,Quinnipiac University,1134,lv,1.644289,0,16,14.58972,11.01801,62596,112871
2020D,New Hampshire,1/27/20,Bernard Sanders,11/6/19,11/10/19,Quinnipiac University,1134,lv,1.644289,0,14,15.20184,19.19486,62596,112871
2020D,New Hampshire,1/27/20,Joseph R. Biden Jr.,11/6/19,11/10/19,Quinnipiac University,1134,lv,1.644289,0,20,19.72057,20.18941,62596,112871
2020D,National,1/27/20,Pete Buttigieg,7/22/19,8/4/19,Pew Research Center,1757,rv,1.575499,0,5,5.107428,,58917,100684
2020D,National,1/27/20,Andrew Yang,7/22/19,8/4/19,Pew Research Center,1757,rv,1.575499,0,1,1.297065,,58917,100684
2020D,National,1/27/20,Amy Klobuchar,7/22/19,8/4/19,Pew Research Center,1757,rv,1.575499,0,1,1.059922,,58917,100684
2020D,National,1/27/20,Elizabeth Warren,7/22/19,8/4/19,Pew Research Center,1757,rv,1.575499,0,16,15.61802,,58917,100684
2020D,National,1/27/20,Bernard Sanders,7/22/19,8/4/19,Pew Research Center,1757,rv,1.575499,0,12,13.58648,,58917,100684
2020D,National,1/27/20,Joseph R. Biden Jr.,7/22/19,8/4/19,Pew Research Center,1757,rv,1.575499,0,26,26.68637,,58917,100684
2020D,Iowa,1/27/20,Michael F. Bennet,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,0,-0.1305614,-0.0418937,63251,115594
2020D,Iowa,1/27/20,Pete Buttigieg,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,16,16.52963,15.68271,63251,115594
2020D,Iowa,1/27/20,Tulsi Gabbard,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,2,1.714894,1.340798,63251,115594
2020D,Iowa,1/27/20,Andrew Yang,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,5,4.666909,4.999833,63251,115594
2020D,Iowa,1/27/20,Tom Steyer,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,2,2.165865,2.128158,63251,115594
2020D,Iowa,1/27/20,Deval Patrick,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,0,0.0078516,0.1152093,63251,115594
2020D,Iowa,1/27/20,John K. Delaney,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,0,0.032924,-0.1747582,63251,115594
2020D,Iowa,1/27/20,Amy Klobuchar,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,6,6.287186,6.434581,63251,115594
2020D,Iowa,1/27/20,Michael Bloomberg,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,1.025596,1,0.8661222,1.426264,63251,115594
2020D,Iowa,1/27/20,Elizabeth Warren,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,17,16.16733,15.68208,63251,115594
2020D,Iowa,1/27/20,Bernard Sanders,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,20,20.7261,22.30015,63251,115594
2020D,Iowa,1/27/20,Joseph R. Biden Jr.,1/2/20,1/8/20,Selzer & Co.,701,lv,1.54747,0.4258496,15,16.42388,16.45931,63251,115594
2020D,National,1/27/20,Michael F. Bennet,5/29/19,6/5/19,Ipsos,2271,rv,1.457501,0,0,0.0844448,,58389,97589
2020D,National,1/27/20,Pete Buttigieg,5/29/19,6/5/19,Ipsos,2271,rv,1.457501,0,5,6.333245,,58389,97589
2020D,National,1/27/20,Tulsi Gabbard,5/29/19,6/5/19,Ipsos,2271,rv,1.457501,0,1,1.36973,,58389,97589
2020D,National,1/27/20,Andrew Yang,5/29/19,6/5/19,Ipsos,2271,rv,1.457501,0,1,1.079539,,58389,97589
2020D,National,1/27/20,John K. Delaney,5/29/19,6/5/19,Ipsos,2271,rv,1.457501,0,0,0.120185,,58389,97589
2020D,National,1/27/20,Amy Klobuchar,5/29/19,6/5/19,Ipsos,2271,rv,1.457501,0,2,2.549569,,58389,97589
2020D,National,1/27/20,Elizabeth Warren,5/29/19,6/5/19,Ipsos,2271,rv,1.457501,0,9,12.51926,,58389,97589
2020D,National,1/27/20,Bernard Sanders,5/29/19,6/5/19,Ipsos,2271,rv,1.457501,0,14,14.33475,,58389,97589
2020D,National,1/27/20,Joseph R. Biden Jr.,5/29/19,6/5/19,Ipsos,2271,rv,1.457501,0,31,35.68545,,58389,97589
2020D,South Carolina,1/27/20,Michael F. Bennet,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,0,0.0805455,0.1531549,63244,115575
2020D,South Carolina,1/27/20,Pete Buttigieg,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,4,4.437158,4.308599,63244,115575
2020D,South Carolina,1/27/20,Tulsi Gabbard,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,1,1.040273,0.7242361,63244,115575
2020D,South Carolina,1/27/20,Andrew Yang,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,2,1.906318,2.210639,63244,115575
2020D,South Carolina,1/27/20,Tom Steyer,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,15,14.02955,13.99299,63244,115575
2020D,South Carolina,1/27/20,Deval Patrick,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,0,-0.0058549,0.0895457,63244,115575
2020D,South Carolina,1/27/20,John K. Delaney,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,0,-0.1343375,-0.3320145,63244,115575
2020D,South Carolina,1/27/20,Amy Klobuchar,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,1,0.7935544,0.914861,63244,115575
2020D,South Carolina,1/27/20,Michael Bloomberg,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,2,1.680035,2.572465,63244,115575
2020D,South Carolina,1/27/20,Elizabeth Warren,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,10,11.19485,10.72656,63244,115575
2020D,South Carolina,1/27/20,Bernard Sanders,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,14,13.9546,15.1363,63244,115575
2020D,South Carolina,1/27/20,Joseph R. Biden Jr.,1/5/20,1/8/20,Fox News/Anderson Robbins Research/Shaw & Co. Research,808,lv,1.454794,1.454794,36,34.16978,33.9406,63244,115575
2020D,South Carolina,1/27/20,Michael F. Bennet,9/29/19,10/2/19,Fox News/Anderson Robbins Research/Shaw & Co. Research,803,lv,1.447712,0,1,1.091788,1.096316,59857,103848
2020D,South Carolina,1/27/20,Pete Buttigieg,9/29/19,10/2/19,Fox News/Anderson Robbins Research/Shaw & Co. Research,803,lv,1.447712,0,2,2.36622,3.837222,59857,103848
2020D,South Carolina,1/27/20,Tulsi Gabbard,9/29/19,10/2/19,Fox News/Anderson Robbins Research/Shaw & Co. Research,803,lv,1.447712,0,1,1.040273,1.239568,59857,103848
2020D,South Carolina,1/27/20,Andrew Yang,9/29/19,10/2/19,Fox News/Anderson Robbins Research/Shaw & Co. Research,803,lv,1.447712,0,1,0.9161388,2.119331,59857,103848
2020D,South Carolina,1/27/20,Tom Steyer,9/29/19,10/2/19,Fox News/Anderson Robbins Research/Shaw & Co. Research,803,lv,1.447712,0,4,3.433692,5.374344,59857,103848
2020D,South Carolina,1/27/20,John K. Delaney,9/29/19,10/2/19,Fox News/Anderson Robbins Research/Shaw & Co. Research,803,lv,1.447712,0,0,-0.1343375,-0.2046286,59857,103848
2020D,South Carolina,1/27/20,Amy Klobuchar,9/29/19,10/2/19,Fox News/Anderson Robbins Research/Shaw & Co. Research,803,lv,1.447712,0,0,-0.1809915,1.210965,59857,103848
2020D,South Carolina,1/27/20,Elizabeth Warren,9/29/19,10/2/19,Fox News/Anderson Robbins Research/Shaw & Co. Research,803,lv,1.447712,0,12,13.29305,7.924787,59857,103848
2020D,South Carolina,1/27/20,Bernard Sanders,9/29/19,10/2/19,Fox News/Anderson Robbins Research/Shaw & Co. Research,803,lv,1.447712,0,10,9.960948,14.47556,59857,103848
2020D,South Carolina,1/27/20,Joseph R. Biden Jr.,9/29/19,10/2/19,Fox News/Anderson Robbins Research/Shaw & Co. Research,803,lv,1.447712,0,41,39.10788,39.0741,59857,103848
2020D,New Hampshire,1/27/20,Michael F. Bennet,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,1,0.7957383,0.7894858,63351,116135
2020D,New Hampshire,1/27/20,Pete Buttigieg,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,17,15.0377,14.92725,63351,116135
2020D,New Hampshire,1/27/20,Tulsi Gabbard,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,6,6.031014,6.027039,63351,116135
2020D,New Hampshire,1/27/20,Andrew Yang,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,5,4.353473,4.348088,63351,116135
2020D,New Hampshire,1/27/20,Tom Steyer,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,3,3.522797,3.509351,63351,116135
2020D,New Hampshire,1/27/20,Deval Patrick,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,1,1.03475,1.04403,63351,116135
2020D,New Hampshire,1/27/20,John K. Delaney,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,0,0.1598029,0.1552603,63351,116135
2020D,New Hampshire,1/27/20,Amy Klobuchar,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,10,8.91291,8.934262,63351,116135
2020D,New Hampshire,1/27/20,Elizabeth Warren,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,13,12.50613,12.6076,63351,116135
2020D,New Hampshire,1/27/20,Bernard Sanders,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,22,20.78465,20.75571,63351,116135
2020D,New Hampshire,1/27/20,Joseph R. Biden Jr.,1/20/20,1/23/20,Marist College,697,lv,1.43474,1.31475,15,15.96528,15.97864,63351,116135
2020D,California,1/27/20,Michael F. Bennet,7/9/19,7/18/19,YouGov,1404,lv,1.408263,0,1,0.911252,1.279029,58698,99518
2020D,California,1/27/20,Pete Buttigieg,7/9/19,7/18/19,YouGov,1404,lv,1.408263,0,6,5.256112,6.639336,58698,99518
2020D,California,1/27/20,Tulsi Gabbard,7/9/19,7/18/19,YouGov,1404,lv,1.408263,0,1,0.6102668,0.9032432,58698,99518
2020D,California,1/27/20,Andrew Yang,7/9/19,7/18/19,YouGov,1404,lv,1.408263,0,1,1.419798,3.949739,58698,99518
2020D,California,1/27/20,Tom Steyer,7/9/19,7/18/19,YouGov,1404,lv,1.408263,0,1,1.286933,2.94466,58698,99518
2020D,California,1/27/20,John K. Delaney,7/9/19,7/18/19,YouGov,1404,lv,1.408263,0,0,-0.1320303,-0.2185648,58698,99518
2020D,California,1/27/20,Amy Klobuchar,7/9/19,7/18/19,YouGov,1404,lv,1.408263,0,1,1.136393,3.190224,58698,99518
2020D,California,1/27/20,Elizabeth Warren,7/9/19,7/18/19,YouGov,1404,lv,1.408263,0,19,15.91409,15.87848,58698,99518
2020D,California,1/27/20,Bernard Sanders,7/9/19,7/18/19,YouGov,1404,lv,1.408263,0,16,16.09168,21.79911,58698,99518
2020D,California,1/27/20,Joseph R. Biden Jr.,7/9/19,7/18/19,YouGov,1404,lv,1.408263,0,24,24.50017,24.90948,58698,99518
2020D,Iowa,1/27/20,Michael F. Bennet,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,0,-0.0778346,-0.1000757,63352,116148
2020D,Iowa,1/27/20,Pete Buttigieg,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,22,20.68221,20.46099,63352,116148
2020D,Iowa,1/27/20,Tulsi Gabbard,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,0,-0.3414797,-0.3210221,63352,116148
2020D,Iowa,1/27/20,Andrew Yang,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,1,1.419798,1.371958,63352,116148
2020D,Iowa,1/27/20,Tom Steyer,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,1,1.286933,1.254373,63352,116148
2020D,Iowa,1/27/20,Deval Patrick,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,0,0.0753393,0.085421,63352,116148
2020D,Iowa,1/27/20,John K. Delaney,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,1,0.849428,0.8572084,63352,116148
2020D,Iowa,1/27/20,Amy Klobuchar,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,7,7.221985,7.269054,63352,116148
2020D,Iowa,1/27/20,Elizabeth Warren,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,15,12.24218,12.48797,63352,116148
2020D,Iowa,1/27/20,Bernard Sanders,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,26,26.11301,25.86167,63352,116148
2020D,Iowa,1/27/20,Joseph R. Biden Jr.,1/16/20,1/23/20,YouGov,1356,lv,1.386778,1.19348,25,25.50846,25.56979,63352,116148
2020D,Illinois,1/27/20,Michael F. Bennet,11/22/19,11/25/19,Victory Research,1200,lv,1.368715,1.368715,0.6,0.5999993,0.6376622,62988,114119
2020D,Illinois,1/27/20,Deval Patrick,11/22/19,11/25/19,Victory Research,1200,lv,1.368715,1.368715,2.4,2.400001,2.102556,62988,114119
2020D,Illinois,1/27/20,Michael Bloomberg,11/22/19,11/25/19,Victory Research,1200,lv,1.368715,1.368715,3.6,3.6,7.393568,62988,114119
2020D,National,1/27/20,Deval Patrick,11/11/19,11/17/19,Morning Consult,17050,lv,1.368001,0,0,0.3218824,,62655,113186
2020D,Illinois,1/27/20,Pete Buttigieg,11/22/19,11/25/19,Victory Research,1200,lv,1.363958,1.363958,15.9,15.9,13.40715,62988,114119
2020D,Illinois,1/27/20,Tulsi Gabbard,11/22/19,11/25/19,Victory Research,1200,lv,1.363958,1.363958,0.9,0.8999994,0.5944915,62988,114119
2020D,Illinois,1/27/20,Andrew Yang,11/22/19,11/25/19,Victory Research,1200,lv,1.363958,1.363958,1,1.000001,1.608911,62988,114119
2020D,Illinois,1/27/20,Tom Steyer,11/22/19,11/25/19,Victory Research,1200,lv,1.363958,1.363958,1.8,1.800001,2.537927,62988,114119
2020D,Illinois,1/27/20,John K. Delaney,11/22/19,11/25/19,Victory Research,1200,lv,1.363958,1.363958,0.1,0.0999995,-0.017687,62988,114119
2020D,Illinois,1/27/20,Amy Klobuchar,11/22/19,11/25/19,Victory Research,1200,lv,1.363958,1.363958,2.6,2.599999,3.448552,62988,114119
2020D,Illinois,1/27/20,Elizabeth Warren,11/22/19,11/25/19,Victory Research,1200,lv,1.363958,1.363958,17.4,17.4,16.45065,62988,114119
2020D,Illinois,1/27/20,Bernard Sanders,11/22/19,11/25/19,Victory Research,1200,lv,1.363958,1.363958,15,15,18.20148,62988,114119
2020D,Illinois,1/27/20,Joseph R. Biden Jr.,11/22/19,11/25/19,Victory Research,1200,lv,1.363958,1.363958,23.2,23.2,23.91178,62988,114119
2020D,Illinois,1/27/20,Pete Buttigieg,7/26/19,7/29/19,Victory Research,1200,lv,1.363958,0.2339117,9.3,9.3,11.27802,58770,99934
2020D,Illinois,1/27/20,Tulsi Gabbard,7/26/19,7/29/19,Victory Research,1200,lv,1.363958,0.2339117,0.3,0.3000005,0.5089687,58770,99934
2020D,Illinois,1/27/20,Andrew Yang,7/26/19,7/29/19,Victory Research,1200,lv,1.363958,0.2339117,0.3,0.3000005,2.454272,58770,99934
2020D,Illinois,1/27/20,Tom Steyer,7/26/19,7/29/19,Victory Research,1200,lv,1.363958,0.2339117,0.8,0.8,2.448082,58770,99934
2020D,Illinois,1/27/20,John K. Delaney,7/26/19,7/29/19,Victory Research,1200,lv,1.363958,0.2339117,0,4.01E-07,-0.0744082,58770,99934
2020D,Illinois,1/27/20,Amy Klobuchar,7/26/19,7/29/19,Victory Research,1200,lv,1.363958,0.2339117,1.7,1.7,3.908891,58770,99934
2020D,Illinois,1/27/20,Elizabeth Warren,7/26/19,7/29/19,Victory Research,1200,lv,1.363958,0.2339117,12.8,12.8,12.51951,58770,99934
2020D,Illinois,1/27/20,Bernard Sanders,7/26/19,7/29/19,Victory Research,1200,lv,1.363958,0.2339117,15.2,15.2,20.6284,58770,99934
2020D,Illinois,1/27/20,Joseph R. Biden Jr.,7/26/19,7/29/19,Victory Research,1200,lv,1.363958,0.2339117,36.1,36.1,36.00328,58770,99934
2020D,Iowa,1/27/20,Michael F. Bennet,9/14/19,9/18/19,Selzer & Co.,602,lv,1.335855,0,0,-0.1305614,-0.1300842,59626,103013
2020D,Iowa,1/27/20,Pete Buttigieg,9/14/19,9/18/19,Selzer & Co.,602,lv,1.335855,0,9,9.410727,11.50646,59626,103013
2020D,Iowa,1/27/20,Tulsi Gabbard,9/14/19,9/18/19,Selzer & Co.,602,lv,1.335855,0,2,1.714894,1.844602,59626,103013
2020D,Iowa,1/27/20,Andrew Yang,9/14/19,9/18/19,Selzer & Co.,602,lv,1.335855,0,2,1.741656,2.935116,59626,103013
2020D,Iowa,1/27/20,Tom Steyer,9/14/19,9/18/19,Selzer & Co.,602,lv,1.335855,0,2,2.165865,3.943293,59626,103013
2020D,Iowa,1/27/20,John K. Delaney,9/14/19,9/18/19,Selzer & Co.,602,lv,1.335855,0,1,1.037526,0.9692608,59626,103013
2020D,Iowa,1/27/20,Amy Klobuchar,9/14/19,9/18/19,Selzer & Co.,602,lv,1.335855,0,3,3.229953,5.485508,59626,103013
2020D,Iowa,1/27/20,Elizabeth Warren,9/14/19,9/18/19,Selzer & Co.,602,lv,1.335855,0,22,21.06538,15.42763,59626,103013
2020D,Iowa,1/27/20,Bernard Sanders,9/14/19,9/18/19,Selzer & Co.,602,lv,1.335855,0,11,11.55686,15.9287,59626,103013
2020D,Iowa,1/27/20,Joseph R. Biden Jr.,9/14/19,9/18/19,Selzer & Co.,602,lv,1.335855,0,20,21.61372,21.98208,59626,103013
2020D,Florida,1/27/20,Pete Buttigieg,6/22/19,6/23/19,St. Pete Polls,2022,lv,1.332717,0.2531163,8.4,8.235523,8.744053,58536,98293
2020D,Florida,1/27/20,Elizabeth Warren,6/22/19,6/23/19,St. Pete Polls,2022,lv,1.332717,0.2531163,11.8,11.22894,12.59802,58536,98293
2020D,Florida,1/27/20,Bernard Sanders,6/22/19,6/23/19,St. Pete Polls,2022,lv,1.332717,0.2531163,8,9.889719,13.89243,58536,98293
2020D,Florida,1/27/20,Joseph R. Biden Jr.,6/22/19,6/23/19,St. Pete Polls,2022,lv,1.332717,0.2531163,47.4,44.88527,43.54426,58536,98293
2020D,Iowa,1/27/20,Pete Buttigieg,6/2/19,6/5/19,Selzer & Co.,600,lv,1.331557,0,14,14.49882,14.42221,58398,97617
2020D,Iowa,1/27/20,Tulsi Gabbard,6/2/19,6/5/19,Selzer & Co.,600,lv,1.331557,0,1,0.7449055,1.285257,58398,97617
2020D,Iowa,1/27/20,Andrew Yang,6/2/19,6/5/19,Selzer & Co.,600,lv,1.331557,0,1,0.7688343,3.618049,58398,97617
2020D,Iowa,1/27/20,John K. Delaney,6/2/19,6/5/19,Selzer & Co.,600,lv,1.331557,0,1,1.037526,0.989154,58398,97617
2020D,Iowa,1/27/20,Amy Klobuchar,6/2/19,6/5/19,Selzer & Co.,600,lv,1.331557,0,2,2.209162,4.246315,58398,97617
2020D,Iowa,1/27/20,Elizabeth Warren,6/2/19,6/5/19,Selzer & Co.,600,lv,1.331557,0,15,14.21383,17.73649,58398,97617
2020D,Iowa,1/27/20,Bernard Sanders,6/2/19,6/5/19,Selzer & Co.,600,lv,1.331557,0,16,16.65811,21.07874,58398,97617
2020D,Iowa,1/27/20,Joseph R. Biden Jr.,6/2/19,6/5/19,Selzer & Co.,600,lv,1.331557,0,24,25.73936,22.07745,58398,97617
2020D,Iowa,1/27/20,Michael F. Bennet,6/2/19,6/5/19,Selzer & Co.,600,lv,1.331284,0,1,0.851104,1.121704,58398,97617
